stride_pct,RL | leg1_a angle (deg),RL | leg1_e angle (deg),RL | leg2_a angle (deg),RL | leg2_e angle (deg),RL | leg3_a angle (deg),RL | leg3_e angle (deg),RL | leg4_a angle (deg),RL | leg4_e angle (deg),RL | IMU pitch (deg),RL | IMU roll (deg),RL | pitch rate (deg/s),RL | roll rate (deg/s),RL | yaw rate (deg/s),RL | leg1_a torque (N m),RL | leg1_e torque (N m),RL | leg2_a torque (N m),RL | leg2_e torque (N m),RL | leg3_a torque (N m),RL | leg3_e torque (N m),RL | leg4_a torque (N m),RL | leg4_e torque (N m),Old CPG | leg1_a angle (deg),Old CPG | leg1_e angle (deg),Old CPG | leg2_a angle (deg),Old CPG | leg2_e angle (deg),Old CPG | leg3_a angle (deg),Old CPG | leg3_e angle (deg),Old CPG | leg4_a angle (deg),Old CPG | leg4_e angle (deg),Old CPG | IMU pitch (deg),Old CPG | IMU roll (deg),Old CPG | pitch rate (deg/s),Old CPG | roll rate (deg/s),Old CPG | yaw rate (deg/s),Old CPG | leg1_a torque (N m),Old CPG | leg1_e torque (N m),Old CPG | leg2_a torque (N m),Old CPG | leg2_e torque (N m),Old CPG | leg3_a torque (N m),Old CPG | leg3_e torque (N m),Old CPG | leg4_a torque (N m),Old CPG | leg4_e torque (N m),Final CPG | leg1_a angle (deg),Final CPG | leg1_e angle (deg),Final CPG | leg2_a angle (deg),Final CPG | leg2_e angle (deg),Final CPG | leg3_a angle (deg),Final CPG | leg3_e angle (deg),Final CPG | leg4_a angle (deg),Final CPG | leg4_e angle (deg),Final CPG | IMU pitch (deg),Final CPG | IMU roll (deg),Final CPG | pitch rate (deg/s),Final CPG | roll rate (deg/s),Final CPG | yaw rate (deg/s),Final CPG | leg1_a torque (N m),Final CPG | leg1_e torque (N m),Final CPG | leg2_a torque (N m),Final CPG | leg2_e torque (N m),Final CPG | leg3_a torque (N m),Final CPG | leg3_e torque (N m),Final CPG | leg4_a torque (N m),Final CPG | leg4_e torque (N m)
28.125,40.9383,-12.18395,-44.60978,-1.41214,-24.71152,23.60055,35.43198,-2.146,-1.49148,-0.06273,20.24875,-50.42433,-0.0023,0.01251,0.00349,0.05587,-0.01833,0.01255,-0.04511,-0.08302,0.05792,41.99884,-9.52646,-45.69261,-3.24097,-23.32664,27.06604,35.3547,-0.46755,-0.99934,-1.82125,24.48724,-37.65545,-4.44795,0.01652,-0.00603,0.03986,-0.01289,0.00651,-2e-05,-0.05106,0.00235,40.44794,-12.63792,-44.60737,-1.25748,-24.49305,23.88356,35.39572,-2.10459,-1.51131,-0.16523,20.95617,-50.24316,0.73356,0.04386,-0.00363,0.06102,-0.02063,0.00499,-0.03302,-0.08601,0.06042
30.20833,39.10844,-11.93521,-45.52778,-1.58085,-24.69717,21.34062,36.0987,-1.79856,-1.42928,-0.29512,19.7026,-48.95602,-0.88652,0.0043,0.00716,0.05169,-0.01471,0.02661,-0.03722,-0.08,0.05771,40.80286,-9.61519,-46.90695,-3.1297,-23.256,25.6539,36.22751,-1.41689,-0.89815,-1.95874,21.93731,-24.74443,-7.18908,0.01824,-0.00756,0.04758,-0.00722,0.02529,-0.0168,-0.05703,0.00255,38.49694,-12.33811,-45.58726,-1.42733,-24.43127,21.29819,36.14557,-1.81906,-1.43683,-0.39832,21.50757,-48.41748,-0.71022,0.02755,-0.00202,0.05789,-0.02021,0.01708,-0.01388,-0.08384,0.06695
32.29167,37.71797,-11.44386,-46.42527,-1.7506,-24.78303,19.37617,36.6908,-1.4433,-1.38211,-0.5061,17.41152,-45.23183,-1.72248,-0.00922,0.01576,0.04439,-0.00994,0.046,-0.03948,-0.07432,0.05283,39.72354,-9.61428,-48.0133,-2.87468,-23.45835,24.44962,37.01994,-2.59663,-0.81314,-2.01631,17.39797,-8.24162,-10.07774,0.01324,-0.0061,0.05019,-0.0014,0.05021,-0.04122,-0.05882,0.00301,37.04483,-11.80399,-46.53069,-1.60654,-24.50069,19.1338,36.80448,-1.51401,-1.37507,-0.60632,20.2346,-44.4529,-2.3453,0.00057,0.00643,0.04983,-0.01774,0.03707,-0.00995,-0.07832,0.06749
34.375,36.82113,-10.77764,-47.26835,-1.9374,-24.98045,17.7748,37.20576,-1.1295,-1.35244,-0.68589,13.82198,-39.49867,-2.27701,-0.02629,0.02787,0.03471,-0.00544,0.06857,-0.05304,-0.06634,0.04104,38.82265,-9.54377,-48.9594,-2.4761,-23.91656,23.54275,37.67695,-3.9896,-0.74727,-1.98969,12.416,8.77578,-12.47952,-0.00059,-0.00083,0.04557,0.00381,0.07786,-0.0702,-0.05543,0.00394,36.15136,-11.11297,-47.39752,-1.81331,-24.71919,17.50242,37.36356,-1.24536,-1.32874,-0.78012,17.47383,-38.86056,-3.69668,-0.0318,0.02014,0.03764,-0.01322,0.06268,-0.02534,-0.0698,0.05798
36.45833,36.3906,-9.99635,-48.03529,-2.14621,-25.28143,16.52121,37.65625,-0.9491,-1.33931,-0.82786,9.63905,-32.17958,-2.3995,-0.04401,0.04091,0.02394,-0.0025,0.09116,-0.07531,-0.05671,0.0217,38.13904,-9.41832,-49.71315,-1.93603,-24.57248,22.95328,38.158,-5.56918,-0.69523,-1.88976,8.84633,23.30216,-13.84881,-0.02306,0.00814,0.03407,0.00768,0.10392,-0.09913,-0.0473,0.00551,35.77653,-10.32567,-48.16671,-2.05239,-25.07281,16.3852,37.83687,-1.12538,-1.29688,-0.91439,13.93611,-32.03031,-4.35355,-0.06262,0.03599,0.02335,-0.00735,0.08986,-0.0574,-0.05894,0.03686
38.54167,36.33425,-9.14842,-48.72117,-2.36142,-25.66202,15.53372,38.05786,-1.02694,-1.3388,-0.92896,5.65586,-23.78706,-2.08021,-0.05925,0.05194,0.01352,-0.00172,0.11053,-0.10075,-0.04618,-0.00371,37.67782,-9.24341,-50.2678,-1.25862,-25.34001,22.63443,38.44458,-7.301,-0.64391,-1.73803,8.35014,33.34824,-13.89132,-0.05131,0.01972,0.01846,0.00966,0.12438,-0.12314,-0.03607,0.00776,35.80235,-9.48365,-48.84037,-2.30514,-25.52121,15.6501,38.24786,-1.30762,-1.2755,-1.00687,10.49732,-24.13998,-4.12477,-0.08541,0.05021,0.00953,-0.00131,0.11401,-0.09751,-0.04659,0.006
40.625,36.52605,-8.27099,-49.33586,-2.54085,-26.09045,14.69688,38.41338,-1.49968,-1.34524,-0.98928,2.55494,-14.85586,-1.45499,-0.06963,0.0585,0.00464,-0.00266,0.12414,-0.12279,-0.03548,-0.03168,37.40927,-9.01464,-50.63807,-0.4508,-26.12615,22.49384,38.54046,-9.14649,-0.57541,-1.55917,11.8741,38.47063,-12.63539,-0.0804,0.03214,0.00287,0.00952,0.13662,-0.13853,-0.02403,0.01051,36.07295,-8.61321,-49.43875,-2.524,-26.01176,15.10198,38.60998,-1.95626,-1.25901,-1.05724,7.91726,-15.24138,-3.11154,-0.09628,0.05962,-0.00155,0.00364,0.13129,-0.13429,-0.03367,-0.02959
42.70833,36.84132,-7.39173,-49.89627,-2.61615,-26.53665,13.89904,38.70068,-2.48806,-1.35291,-1.01128,0.74135,-5.90359,-0.75477,-0.07414,0.05938,-0.00202,-0.00406,0.13077,-0.13607,-0.02517,-0.05745,37.27846,-8.72014,-50.84935,0.47669,-26.85344,22.42456,38.46498,-11.06624,-0.47209,-1.37341,19.28669,39.72881,-10.39354,-0.10464,0.04343,-0.00878,0.0075,0.14004,-0.14394,-0.01331,0.01338,36.43997,-7.73186,-49.9885,-2.63384,-26.4964,14.54725,38.91012,-3.20783,-1.2422,-1.06635,6.59033,-5.46455,-1.66884,-0.09497,0.06243,-0.0086,0.00651,0.13967,-0.15768,-0.02114,-0.06307
44.79167,37.1859,-6.53096,-50.41562,-2.50081,-26.97974,13.06271,38.86991,-4.06956,-1.35753,-0.99878,0.25987,2.59041,-0.22011,-0.0734,0.05487,-0.0064,-0.00431,0.13072,-0.13819,-0.01565,-0.07627,37.22275,-8.34515,-50.92444,1.50799,-27.47686,22.33425,38.2422,-13.0215,-0.32217,-1.19123,29.31596,39.1361,-7.63927,-0.11936,0.05199,-0.01413,0.00421,0.13605,-0.1407,-0.00518,0.01588,36.79874,-6.85418,-50.50866,-2.54117,-26.94525,13.85064,39.10259,-5.13629,-1.22197,-1.03609,6.42597,4.78092,-0.27183,-0.08477,0.05871,-0.01161,0.00684,0.13934,-0.1625,-0.00993,-0.08767
46.875,37.51131,-5.7031,-50.89334,-2.10474,-27.41137,12.15903,38.85271,-6.25814,-1.3572,-0.95623,0.82273,10.20775,-0.01489,-0.06925,0.04656,-0.00887,-0.00222,0.12545,-0.13027,-0.00717,-0.08465,37.19144,-7.87714,-50.87343,2.62128,-27.99006,22.16273,37.89062,-14.97349,-0.12397,-1.01196,39.84216,38.85365,-4.85389,-0.1223,0.05697,-0.01324,0.00052,0.12737,-0.13238,0.0002,0.01751,37.10548,-5.99491,-50.9993,-2.14975,-27.35247,12.96562,39.11722,-7.73083,-1.19834,-0.96968,6.91129,14.73405,0.65869,-0.07103,0.05016,-0.01161,0.00475,0.13235,-0.14997,-0.00081,-0.09863
