stride_pct,RL | leg1_a angle (deg),RL | leg1_e angle (deg),RL | leg2_a angle (deg),RL | leg2_e angle (deg),RL | leg3_a angle (deg),RL | leg3_e angle (deg),RL | leg4_a angle (deg),RL | leg4_e angle (deg),RL | IMU pitch (deg),RL | IMU roll (deg),RL | pitch rate (deg/s),RL | roll rate (deg/s),RL | yaw rate (deg/s),RL | leg1_a torque (N m),RL | leg1_e torque (N m),RL | leg2_a torque (N m),RL | leg2_e torque (N m),RL | leg3_a torque (N m),RL | leg3_e torque (N m),RL | leg4_a torque (N m),RL | leg4_e torque (N m),Old CPG | leg1_a angle (deg),Old CPG | leg1_e angle (deg),Old CPG | leg2_a angle (deg),Old CPG | leg2_e angle (deg),Old CPG | leg3_a angle (deg),Old CPG | leg3_e angle (deg),Old CPG | leg4_a angle (deg),Old CPG | leg4_e angle (deg),Old CPG | IMU pitch (deg),Old CPG | IMU roll (deg),Old CPG | pitch rate (deg/s),Old CPG | roll rate (deg/s),Old CPG | yaw rate (deg/s),Old CPG | leg1_a torque (N m),Old CPG | leg1_e torque (N m),Old CPG | leg2_a torque (N m),Old CPG | leg2_e torque (N m),Old CPG | leg3_a torque (N m),Old CPG | leg3_e torque (N m),Old CPG | leg4_a torque (N m),Old CPG | leg4_e torque (N m),Final CPG | leg1_a angle (deg),Final CPG | leg1_e angle (deg),Final CPG | leg2_a angle (deg),Final CPG | leg2_e angle (deg),Final CPG | leg3_a angle (deg),Final CPG | leg3_e angle (deg),Final CPG | leg4_a angle (deg),Final CPG | leg4_e angle (deg),Final CPG | IMU pitch (deg),Final CPG | IMU roll (deg),Final CPG | pitch rate (deg/s),Final CPG | roll rate (deg/s),Final CPG | yaw rate (deg/s),Final CPG | leg1_a torque (N m),Final CPG | leg1_e torque (N m),Final CPG | leg2_a torque (N m),Final CPG | leg2_e torque (N m),Final CPG | leg3_a torque (N m),Final CPG | leg3_e torque (N m),Final CPG | leg4_a torque (N m),Final CPG | leg4_e torque (N m)
69.79167,42.56642,0.34744,-42.13598,15.22146,-32.37294,3.83937,27.54748,-29.80438,-1.04135,0.88026,18.99928,57.04244,-1.00773,-0.04567,0.00993,-0.03237,-0.01511,0.07933,-0.04868,0.01244,0.10295,41.54018,1.3083,-41.39786,12.91395,-33.05307,11.81853,29.98464,-26.08705,1.35639,2.23643,-0.26409,59.43441,-8.95753,-0.0349,0.01008,-0.00504,-0.0011,0.05635,-0.06925,-0.09805,0.00953,42.1738,0.32381,-42.44972,16.12733,-32.23035,3.97104,27.59478,-31.1268,-0.85884,1.08096,22.28224,62.99172,-1.53225,-0.04082,0.00955,-0.02879,-0.01539,0.07288,-0.03791,0.01887,0.09862
71.875,43.13296,0.64335,-39.86889,15.43467,-32.82264,3.34284,26.77483,-28.73278,-0.9464,1.16991,21.24904,60.65548,-0.93648,-0.04693,0.0099,-0.03535,-0.01135,0.0825,-0.04777,0.00793,0.10867,42.38185,2.03601,-40.02849,13.22647,-33.42368,10.81218,29.81183,-25.88505,1.30656,2.43906,-8.08257,46.68122,-9.53787,-0.02255,0.00551,-0.00615,1e-05,0.05086,-0.04294,-0.11891,0.01597,42.75894,0.62897,-40.07553,16.31123,-32.69193,3.40492,26.7303,-29.61424,-0.75239,1.39938,24.31338,67.31094,-1.70757,-0.04453,0.01006,-0.0359,-0.0044,0.07786,-0.03499,0.01503,0.10133
73.95833,43.75334,0.92087,-37.68413,15.20257,-33.28491,2.89537,26.10516,-27.23183,-0.8572,1.45879,21.75096,61.70063,-0.67425,-0.049,0.01026,-0.03436,-0.00698,0.08447,-0.05082,-0.00035,0.11166,43.24869,2.64897,-38.62355,13.37815,-33.75904,10.1904,29.75702,-25.49612,1.20353,2.55425,-18.58135,29.59069,-8.50098,-0.01094,0.0027,-0.01082,0.00202,0.046,-0.02061,-0.13248,0.02355,43.42211,0.90864,-37.74029,16.00146,-33.18496,2.93412,25.97578,-27.68812,-0.65547,1.71114,23.21715,67.11967,-1.51325,-0.05134,0.01073,-0.04045,0.00604,0.08305,-0.04155,0.00551,0.10102
76.04167,44.43542,1.18609,-35.71866,14.5996,-33.76477,2.48736,25.54872,-25.47382,-0.78541,1.73121,20.10529,59.54563,-0.17702,-0.0503,0.01048,-0.02806,-0.00477,0.08369,-0.05487,-0.01322,0.11213,44.15293,3.13426,-37.22665,13.36735,-34.0506,9.99776,29.77102,-24.90968,1.03682,2.57142,-31.12324,9.24263,-5.7995,-0.00266,0.00158,-0.01711,0.00412,0.04099,-0.00448,-0.13797,0.03189,44.16565,1.1716,-35.60083,15.28444,-33.71248,2.55185,25.35915,-25.55582,-0.58347,1.99268,18.91302,61.73173,-0.74155,-0.05782,0.01093,-0.03971,0.01318,0.08599,-0.05368,-0.01017,0.09833
78.125,45.17166,1.43997,-34.09068,13.7206,-34.26187,2.11786,25.12914,-23.62905,-0.74057,1.97164,16.31561,54.07958,0.48768,-0.04911,0.00993,-0.01612,-0.00682,0.07906,-0.0553,-0.03069,0.11084,45.09929,3.48748,-35.90449,13.20517,-34.28203,10.22419,29.81215,-24.12313,0.80573,2.4905,-43.96788,-12.15234,-1.81782,0.00102,0.00156,-0.02122,0.00498,0.03507,0.00484,-0.13666,0.04079,44.96881,1.42322,-33.80329,14.27298,-34.26605,2.24291,24.91989,-23.4208,-0.54812,2.22305,12.07122,51.68531,0.60409,-0.06026,0.01006,-0.03164,0.0147,0.08443,-0.06356,-0.0313,0.09483
80.20833,45.94196,1.67853,-32.88163,12.6667,-34.76769,1.81285,24.87156,-21.84117,-0.72825,2.16748,10.79285,45.74656,1.14928,-0.04432,0.00827,0.00054,-0.01376,0.0703,-0.04762,-0.0518,0.10912,46.07709,3.71155,-34.73486,12.91521,-34.4342,10.81941,29.85349,-23.15112,0.52228,2.32436,-54.73339,-31.59335,2.69234,0.0006,0.00173,-0.01884,0.00312,0.02791,0.00815,-0.13142,0.05024,45.79574,1.66358,-32.45764,13.08847,-34.82648,2.01207,24.69115,-21.44972,-0.55505,2.38862,3.90393,38.56822,2.26661,-0.0562,0.00789,-0.0158,0.00941,0.07713,-0.06254,-0.05603,0.09271
82.29167,46.72003,1.89553,-32.12316,11.53217,-35.26293,1.639,24.78848,-20.2076,-0.74923,2.31126,4.25797,35.43585,1.59091,-0.0359,0.0056,0.01981,-0.02451,0.05813,-0.02941,-0.07465,0.10842,47.0589,3.81364,-33.78793,12.52944,-34.49214,11.71657,29.88321,-22.02929,0.21025,2.09817,-61.10927,-46.03229,6.80411,-0.00195,0.00118,-0.00686,-0.00264,0.01987,0.00709,-0.12568,0.06042,46.60803,1.88824,-31.61657,11.84333,-35.36571,1.91191,24.68121,-19.74558,-0.603,2.48571,-4.19019,24.51315,3.79902,-0.04545,0.00476,0.00625,-0.00223,0.0644,-0.0448,-0.08172,0.09402
84.375,47.48049,2.08642,-31.79295,10.39388,-35.71538,1.70519,24.86985,-18.76996,-0.79976,2.40163,-2.4237,24.26623,1.63342,-0.02497,0.00254,0.03889,-0.0366,0.04407,-0.0017,-0.09669,0.10976,48.00629,3.80115,-33.10719,12.0808,-34.45049,12.8554,29.89917,-20.81018,-0.09957,1.84513,-61.57855,-53.29334,9.67744,-0.00411,-0.00061,0.01519,-0.01268,0.01189,0.00345,-0.12226,0.07157,47.37638,2.09138,-31.26523,10.62661,-35.84828,2.0554,24.86286,-18.33473,-0.6847,2.52039,-11.00445,11.54856,4.7154,-0.03016,0.00153,0.03115,-0.01808,0.04813,-0.01026,-0.10546,0.09977
86.45833,48.2037,2.2518,-31.82147,9.3049,-36.07961,2.14754,25.082,-17.51699,-0.87283,2.44292,-8.42744,13.3335,1.21303,-0.01348,-1e-05,0.05499,-0.04705,0.03001,0.03088,-0.11532,0.11327,48.87989,3.6784,-32.69704,11.5949,-34.31514,14.19586,29.90112,-19.55164,-0.37651,1.59917,-55.90772,-52.83555,10.80329,-0.00387,-0.00356,0.0445,-0.02639,0.00518,-0.00129,-0.12256,0.08379,48.0865,2.26994,-31.32608,9.49544,-36.23196,2.6031,25.1759,-17.17238,-0.78905,2.50574,-15.80324,1.0372,4.67269,-0.01398,-0.00078,0.05459,-0.03486,0.03114,0.0346,-0.12465,0.10924
88.54167,48.87736,2.39827,-32.10868,8.29297,-36.29962,3.10031,25.37607,-16.39914,-0.95998,2.44342,-13.12524,3.49703,0.4198,-0.00353,-0.00125,0.06607,-0.05333,0.01762,0.06142,-0.12836,0.11793,49.64946,3.44521,-32.52213,11.08321,-34.10005,15.71785,29.88463,-18.30149,-0.59725,1.38683,-45.24714,-46.04746,10.14534,-0.00052,-0.00703,0.07565,-0.04218,0.00066,-0.00614,-0.12614,0.09687,48.73792,2.42653,-31.67865,8.47341,-36.46828,3.72502,25.54273,-16.16565,-0.90399,2.45747,-18.42399,-6.607,3.6113,-0.00063,-0.0014,0.07254,-0.049,0.01625,0.07861,-0.13749,0.11993
90.625,49.49533,2.53522,-32.54674,7.36367,-36.31544,4.66043,25.70279,-15.3506,-1.0531,2.41307,-16.17869,-4.73811,-0.52122,0.00338,-0.00086,0.07137,-0.05421,0.00786,0.08282,-0.13461,0.12184,50.30002,3.09808,-32.51904,10.54027,-33.82096,17.4088,29.83969,-17.08358,-0.75091,1.22076,-31.82039,-35.91492,8.12894,0.00512,-0.01005,0.10216,-0.05777,-0.00141,-0.01053,-0.13115,0.11017,49.33752,2.56861,-32.18907,7.55586,-36.50493,5.54814,25.89159,-15.20725,-1.01907,2.38948,-19.19295,-11.84508,1.79639,0.00746,-0.00027,0.08241,-0.05764,0.00538,0.10964,-0.14325,0.12825
92.70833,50.05552,2.66789,-33.04296,6.50713,-36.07349,6.85682,26.02753,-14.31216,-1.14587,2.36115,-17.55679,-11.22414,-1.32193,0.00679,0.00089,0.07149,-0.05006,0.00081,0.09015,-0.13402,0.12286,50.83162,2.63334,-32.61657,9.94594,-33.48881,19.24596,29.75464,-15.89063,-0.84056,1.09726,-18.31695,-26.13294,5.48215,0.01115,-0.01171,0.11856,-0.07077,-0.00153,-0.01406,-0.13506,0.12255,49.89191,2.70309,-32.74131,6.72014,-36.29158,8.10764,26.17847,-14.20968,-1.12718,2.31092,-18.71087,-15.64087,-0.26063,0.01,0.00194,0.08378,-0.0594,-0.00108,0.1189,-0.14222,0.1307
94.79167,50.55856,2.78843,-33.53677,5.70667,-35.53907,9.6346,26.33973,-13.24837,-1.23443,2.29468,-17.48728,-16.08017,-1.72998,0.00739,0.00314,0.06816,-0.04257,-0.0042,0.08227,-0.12762,0.11941,51.25325,2.05116,-32.75766,9.27216,-33.10597,21.18247,29.62344,-14.68686,-0.88101,0.99877,-7.19145,-19.94948,2.98662,0.01543,-0.0115,0.12214,-0.07922,-0.00081,-0.01635,-0.13561,0.13257,50.40293,2.82727,-33.261,5.93789,-35.78974,11.32011,26.39938,-13.12939,-1.22512,2.22531,-17.60295,-18.95894,-1.97363,0.00869,0.00402,0.07838,-0.0547,-0.00418,0.10416,-0.13555,0.12521
96.875,51.00803,2.8684,-34.00642,4.94691,-34.708,12.85955,26.65281,-12.15464,-1.31735,2.2179,-16.36464,-19.55871,-1.61726,0.00665,0.00488,0.06352,-0.03407,-0.00817,0.06208,-0.11723,0.11107,51.57398,1.35874,-32.91539,8.49254,-32.66712,23.14436,29.45287,-13.42056,-0.89377,0.9008,-0.08566,-19.14596,1.22836,0.01655,-0.00953,0.11375,-0.08205,-0.00044,-0.01706,-0.13159,0.13869,50.86828,2.91914,-33.72521,5.18605,-34.98497,14.98993,26.5882,-11.97399,-1.31312,2.13205,-16.32548,-22.34008,-2.88235,0.0063,0.00474,0.06944,-0.04548,-0.00582,0.07059,-0.12487,0.11199
98.95833,51.41126,2.85602,-34.46422,4.21944,-33.61383,16.3414,26.9951,-11.05311,-1.39497,2.13271,-14.64213,-21.92714,-1.02389,0.0061,0.00534,0.0595,-0.02667,-0.01189,0.03537,-0.10497,0.09891,51.79521,0.57141,-33.09765,7.59162,-32.16426,25.04054,29.26585,-12.04268,-0.90093,0.7807,2.47098,-23.5247,0.43584,0.01433,-0.00649,0.09732,-0.07928,-0.00119,-0.01599,-0.12309,0.13967,51.28598,2.93137,-34.15627,4.45382,-33.89782,18.84813,26.80103,-10.79187,-1.3935,2.02907,-15.08541,-25.7183,-2.80619,0.00534,0.00345,0.06052,-0.03458,-0.00786,0.02875,-0.11191,0.09364
