stride_pct,RL | leg1_a angle (deg),RL | leg1_e angle (deg),RL | leg2_a angle (deg),RL | leg2_e angle (deg),RL | leg3_a angle (deg),RL | leg3_e angle (deg),RL | leg4_a angle (deg),RL | leg4_e angle (deg),RL | spine angle (deg),RL | IMU pitch (deg),RL | IMU roll (deg),RL | pitch rate (deg/s),RL | roll rate (deg/s),RL | yaw rate (deg/s),RL | leg1_a torque (N m),RL | leg1_e torque (N m),RL | leg2_a torque (N m),RL | leg2_e torque (N m),RL | leg3_a torque (N m),RL | leg3_e torque (N m),RL | leg4_a torque (N m),RL | leg4_e torque (N m),RL | spine torque (N m),Old CPG | leg1_a angle (deg),Old CPG | leg1_e angle (deg),Old CPG | leg2_a angle (deg),Old CPG | leg2_e angle (deg),Old CPG | leg3_a angle (deg),Old CPG | leg3_e angle (deg),Old CPG | leg4_a angle (deg),Old CPG | leg4_e angle (deg),Old CPG | spine angle (deg),Old CPG | IMU pitch (deg),Old CPG | IMU roll (deg),Old CPG | pitch rate (deg/s),Old CPG | roll rate (deg/s),Old CPG | yaw rate (deg/s),Old CPG | leg1_a torque (N m),Old CPG | leg1_e torque (N m),Old CPG | leg2_a torque (N m),Old CPG | leg2_e torque (N m),Old CPG | leg3_a torque (N m),Old CPG | leg3_e torque (N m),Old CPG | leg4_a torque (N m),Old CPG | leg4_e torque (N m),Old CPG | spine torque (N m),Final CPG | leg1_a angle (deg),Final CPG | leg1_e angle (deg),Final CPG | leg2_a angle (deg),Final CPG | leg2_e angle (deg),Final CPG | leg3_a angle (deg),Final CPG | leg3_e angle (deg),Final CPG | leg4_a angle (deg),Final CPG | leg4_e angle (deg),Final CPG | spine angle (deg),Final CPG | IMU pitch (deg),Final CPG | IMU roll (deg),Final CPG | pitch rate (deg/s),Final CPG | roll rate (deg/s),Final CPG | yaw rate (deg/s),Final CPG | leg1_a torque (N m),Final CPG | leg1_e torque (N m),Final CPG | leg2_a torque (N m),Final CPG | leg2_e torque (N m),Final CPG | leg3_a torque (N m),Final CPG | leg3_e torque (N m),Final CPG | leg4_a torque (N m),Final CPG | leg4_e torque (N m),Final CPG | spine torque (N m)
36.45833,33.25841,-9.30219,-41.52494,-1.79646,-14.17298,33.80368,32.80297,-8.59313,-1.2338,-2.35398,-0.68475,25.23569,-36.99677,1.22652,-0.05453,0.0394,0.05487,-0.01744,0.03301,-0.03308,-0.04782,0.04509,-0.00757,31.61139,-15.09082,-41.47169,0.62348,-13.32755,37.13344,33.18534,-10.97035,0.20808,-1.24024,-1.80875,11.99592,-7.30654,-6.77338,0.01388,-0.00312,0.02105,0.00368,0.02738,-0.02444,-0.02885,0.00018,0.00708,32.47258,-9.30789,-41.66759,-1.71356,-13.4807,33.47921,32.61167,-7.68563,-1.06385,-2.24932,-1.0072,37.65555,-33.60339,-1.83445,-0.03409,0.03643,0.0581,-0.03196,0.0064,0.00358,-0.03758,0.02467,-0.01085
38.54167,32.78875,-8.33648,-42.86678,-1.84434,-13.22964,32.17337,34.47404,-10.13766,-1.27255,-2.22727,-0.85665,25.11034,-33.96575,-0.27599,-0.08175,0.05972,0.03989,-0.01417,0.05965,-0.07025,-0.03436,0.02907,-0.00353,30.70409,-14.0904,-42.74316,2.01241,-12.99275,35.61678,34.21275,-13.05125,0.03866,-1.23647,-1.75355,0.79627,7.95033,-11.86883,-0.01871,0.01776,0.02642,-0.00056,0.07648,-0.08843,-0.02131,0.00544,0.01307,32.0628,-8.48302,-43.14178,-1.9372,-12.61604,31.86748,34.43755,-9.63161,-1.14833,-2.07129,-1.13476,36.61286,-27.45016,-6.01983,-0.07257,0.07165,0.04366,-0.02481,0.04846,-0.05719,-0.02441,0.01119,-0.00347
40.625,32.54057,-7.53747,-44.18729,-1.70579,-12.54131,30.81442,36.09524,-12.10585,-1.29201,-2.12327,-1.00043,21.26003,-28.6076,-1.00664,-0.10972,0.07668,0.02659,-0.00979,0.09258,-0.11705,-0.02397,0.01554,0.00283,30.23077,-13.23224,-43.94366,3.51671,-13.04102,34.47204,35.08356,-15.38575,-0.15959,-1.29757,-1.63098,-11.45076,20.97776,-16.00157,-0.0705,0.0536,0.02956,-0.00419,0.13245,-0.1672,-0.0127,0.01333,0.0203,31.97181,-7.83837,-44.5679,-1.87963,-12.12914,30.73759,36.24906,-12.0857,-1.22996,-1.93393,-1.23112,28.42044,-18.97788,-8.66932,-0.11533,0.10047,0.02969,-0.01363,0.1035,-0.13761,-0.01615,0.00503,0.00644
42.70833,32.4679,-6.8327,-45.42837,-1.26268,-12.17682,29.66162,37.54485,-14.38821,-1.27952,-2.05997,-1.10924,13.83023,-21.28808,-0.38777,-0.1354,0.08729,0.01615,-0.00484,0.12639,-0.1671,-0.01632,0.00502,0.01117,30.17173,-12.51883,-44.99744,5.09075,-13.37737,33.60704,35.76994,-17.86992,-0.36942,-1.41444,-1.47159,-21.86247,28.94303,-17.98561,-0.13257,0.09782,0.02672,-0.00567,0.18376,-0.24245,-0.00314,0.02005,0.02719,32.1035,-7.25226,-45.86386,-1.32325,-12.02569,29.92501,37.89633,-14.81047,-1.28537,-1.86208,-1.28763,15.022,-9.03873,-8.64785,-0.15461,0.1167,0.01731,-0.00215,0.1589,-0.21893,-0.01104,0.00288,0.01771
44.79167,32.51078,-6.16992,-46.55801,-0.41263,-12.15975,28.60913,38.70856,-16.86626,-1.22257,-2.0482,-1.18198,3.99717,-13.01236,1.75334,-0.15647,0.09042,0.00893,4e-05,0.15436,-0.21241,-0.01031,-0.00284,0.02064,30.42564,-11.88031,-45.85345,6.69755,-13.87659,32.8391,36.26135,-20.40162,-0.56803,-1.56498,-1.30945,-28.16187,30.88307,-17.2693,-0.19149,0.14,0.0171,-0.00477,0.22003,-0.29611,0.00643,0.02274,0.03206,32.33445,-6.65938,-46.99644,-0.12959,-12.24731,29.19735,39.23488,-17.58325,-1.28889,-1.86291,-1.2999,0.08381,1.03316,-5.54313,-0.18378,0.11857,0.00748,0.00577,0.20076,-0.28161,-0.00652,0.00042,0.02873
46.875,32.61651,-5.52527,-47.56588,0.89816,-12.46824,27.55068,39.49385,-19.43695,-1.11231,-2.08944,-1.22357,-6.45311,-5.21783,5.10715,-0.1719,0.0869,0.00448,0.00441,0.17074,-0.24575,-0.0049,-0.00864,0.02995,30.84626,-11.20558,-46.50045,8.31457,-14.42397,31.97393,36.5672,-22.91378,-0.73448,-1.7222,-1.17006,-29.49606,27.90807,-14.19563,-0.23432,0.16997,0.00341,-0.00273,0.23569,-0.31747,0.01412,0.02116,0.0338,32.56043,-6.04575,-47.97943,1.70812,-12.7047,28.34782,40.15437,-20.26574,-1.22004,-1.92622,-1.27118,-12.6726,9.64242,0.13291,-0.19969,0.1087,0.00082,0.00824,0.21928,-0.31308,-0.00114,-0.00491,0.03788
48.95833,32.75326,-4.89604,-48.44672,2.65699,-13.04646,26.41035,39.83848,-22.02687,-0.94627,-2.17705,-1.24315,-15.76759,0.68438,8.98168,-0.18188,0.07891,0.00181,0.0081,0.17288,-0.26285,0.00025,-0.0126,0.03777,31.29458,-10.38863,-46.96381,9.92989,-14.94827,30.87895,36.71009,-25.3872,-0.85673,-1.8639,-1.06323,-26.67163,22.51713,-9.88532,-0.25347,0.18171,-0.0095,-0.00153,0.23157,-0.307,0.01783,0.0178,0.0323,32.72854,-5.42214,-48.84584,4.06716,-13.3148,27.26124,40.59301,-22.82819,-1.06995,-2.03202,-1.21336,-21.02542,15.35549,7.06797,-0.20344,0.09239,-0.0027,0.0063,0.2124,-0.31207,0.00461,-0.01244,0.04401
51.04167,32.91213,-4.28674,-49.18054,4.78798,-13.82209,25.15441,39.7136,-24.59446,-0.72938,-2.29974,-1.25084,-22.78606,3.848,12.53421,-0.1873,0.06903,-0.00012,0.01117,0.16206,-0.26347,0.0048,-0.01446,0.04304,31.68396,-9.36895,-47.28543,11.53063,-15.43418,29.51866,36.71165,-27.8338,-0.93522,-1.97997,-0.98347,-21.70269,17.42326,-5.7938,-0.24928,0.17531,-0.01712,-0.00257,0.21381,-0.27528,0.01643,0.01609,0.02851,32.843,-4.79793,-49.60872,6.74933,-14.02472,25.92875,40.53464,-25.3226,-0.84452,-2.16063,-1.14401,-24.91042,17.42062,13.57289,-0.19926,0.07515,-0.00378,0.00332,0.18613,-0.2876,0.00887,-0.01887,0.04672
53.125,33.09998,-3.69853,-49.72102,7.17273,-14.72299,23.78503,39.12392,-27.12262,-0.47329,-2.44566,-1.25411,-27.17911,4.36101,15.03796,-0.18912,0.05932,-0.00201,0.01362,0.14296,-0.25097,0.00822,-0.01378,0.04526,31.99961,-8.14907,-47.49728,13.09091,-15.91201,27.94099,36.57832,-30.25938,-0.98167,-2.07383,-0.91624,-16.89661,14.47702,-3.14413,-0.22908,0.15621,-0.0175,-0.00569,0.19083,-0.23756,0.01072,0.01798,0.02406,32.94691,-4.17124,-50.23221,9.55666,-14.81367,24.41521,39.9952,-27.82475,-0.56303,-2.2999,-1.08002,-25.92723,16.1617,18.14998,-0.19219,0.06075,-0.00363,0.00281,0.15153,-0.2537,0.01011,-0.02054,0.0464
55.20833,33.32917,-3.12701,-49.99945,9.67634,-15.68794,22.32462,38.10759,-29.60643,-0.19402,-2.60509,-1.25534,-29.30889,3.2418,16.08038,-0.18793,0.05088,-0.00406,0.01519,0.12174,-0.23072,0.0104,-0.01053,0.04458,32.28682,-6.78437,-47.60272,14.56766,-16.4317,26.22979,36.29511,-32.62878,-1.01356,-2.15798,-0.84629,-13.9157,14.15748,-2.48802,-0.20337,0.13216,-0.01216,-0.00913,0.16972,-0.20692,0.00344,0.02242,0.02063,33.09255,-3.53671,-50.62972,12.34814,-15.67675,22.80562,39.01069,-30.37728,-0.25267,-2.44627,-1.03034,-26.08623,13.00466,19.9817,-0.18575,0.05043,-0.00349,0.00625,0.11987,-0.22258,0.00862,-0.01588,0.04402
