stride_pct,RL | leg1_a angle (deg),RL | leg1_e angle (deg),RL | leg2_a angle (deg),RL | leg2_e angle (deg),RL | leg3_a angle (deg),RL | leg3_e angle (deg),RL | leg4_a angle (deg),RL | leg4_e angle (deg),RL | spine angle (deg),RL | IMU pitch (deg),RL | IMU roll (deg),RL | pitch rate (deg/s),RL | roll rate (deg/s),RL | yaw rate (deg/s),RL | leg1_a torque (N m),RL | leg1_e torque (N m),RL | leg2_a torque (N m),RL | leg2_e torque (N m),RL | leg3_a torque (N m),RL | leg3_e torque (N m),RL | leg4_a torque (N m),RL | leg4_e torque (N m),RL | spine torque (N m),Final CPG | leg1_a angle (deg),Final CPG | leg1_e angle (deg),Final CPG | leg2_a angle (deg),Final CPG | leg2_e angle (deg),Final CPG | leg3_a angle (deg),Final CPG | leg3_e angle (deg),Final CPG | leg4_a angle (deg),Final CPG | leg4_e angle (deg),Final CPG | spine angle (deg),Final CPG | IMU pitch (deg),Final CPG | IMU roll (deg),Final CPG | pitch rate (deg/s),Final CPG | roll rate (deg/s),Final CPG | yaw rate (deg/s),Final CPG | leg1_a torque (N m),Final CPG | leg1_e torque (N m),Final CPG | leg2_a torque (N m),Final CPG | leg2_e torque (N m),Final CPG | leg3_a torque (N m),Final CPG | leg3_e torque (N m),Final CPG | leg4_a torque (N m),Final CPG | leg4_e torque (N m),Final CPG | spine torque (N m),Spine 15 trim | leg1_a angle (deg),Spine 15 trim | leg1_e angle (deg),Spine 15 trim | leg2_a angle (deg),Spine 15 trim | leg2_e angle (deg),Spine 15 trim | leg3_a angle (deg),Spine 15 trim | leg3_e angle (deg),Spine 15 trim | leg4_a angle (deg),Spine 15 trim | leg4_e angle (deg),Spine 15 trim | spine angle (deg),Spine 15 trim | IMU pitch (deg),Spine 15 trim | IMU roll (deg),Spine 15 trim | pitch rate (deg/s),Spine 15 trim | roll rate (deg/s),Spine 15 trim | yaw rate (deg/s),Spine 15 trim | leg1_a torque (N m),Spine 15 trim | leg1_e torque (N m),Spine 15 trim | leg2_a torque (N m),Spine 15 trim | leg2_e torque (N m),Spine 15 trim | leg3_a torque (N m),Spine 15 trim | leg3_e torque (N m),Spine 15 trim | leg4_a torque (N m),Spine 15 trim | leg4_e torque (N m),Spine 15 trim | spine torque (N m),Spine 17.5 trim | leg1_a angle (deg),Spine 17.5 trim | leg1_e angle (deg),Spine 17.5 trim | leg2_a angle (deg),Spine 17.5 trim | leg2_e angle (deg),Spine 17.5 trim | leg3_a angle (deg),Spine 17.5 trim | leg3_e angle (deg),Spine 17.5 trim | leg4_a angle (deg),Spine 17.5 trim | leg4_e angle (deg),Spine 17.5 trim | spine angle (deg),Spine 17.5 trim | IMU pitch (deg),Spine 17.5 trim | IMU roll (deg),Spine 17.5 trim | pitch rate (deg/s),Spine 17.5 trim | roll rate (deg/s),Spine 17.5 trim | yaw rate (deg/s),Spine 17.5 trim | leg1_a torque (N m),Spine 17.5 trim | leg1_e torque (N m),Spine 17.5 trim | leg2_a torque (N m),Spine 17.5 trim | leg2_e torque (N m),Spine 17.5 trim | leg3_a torque (N m),Spine 17.5 trim | leg3_e torque (N m),Spine 17.5 trim | leg4_a torque (N m),Spine 17.5 trim | leg4_e torque (N m),Spine 17.5 trim | spine torque (N m)
40.625,31.65123,-15.18343,1.8104,40.6402,-16.22317,30.13098,42.92291,-1.46382,3.97413,-1.48812,-0.44301,-6.59376,-41.12419,0.98162,-0.00924,0.03519,0.00405,-0.04781,0.06505,-0.04477,-0.05448,0.02864,-0.04749,30.83493,-15.99453,1.70077,40.43711,-16.3482,29.72196,43.00509,-1.42034,3.84011,-1.37194,-0.41954,-5.49944,-42.1565,0.78894,-0.01913,0.02127,0.00628,-0.04882,0.0373,-0.03194,-0.05917,0.01898,-0.04753,31.38193,-18.71748,1.16489,39.8489,-15.88253,30.54329,43.47596,-2.08356,5.28111,-2.9441,1.47678,94.72795,-58.32386,4.53693,-0.05009,0.0577,8e-05,-0.05776,-0.00761,0.01089,-0.0371,0.0765,-0.08648,31.57066,-19.56966,1.03904,39.74209,-15.81654,30.81772,43.64128,-2.20287,6.11761,-3.56225,1.92791,114.44564,-64.46863,3.05187,-0.06296,0.07762,-0.0002,-0.05455,-0.01334,0.01522,-0.0327,0.08648,-0.09623
42.70833,31.42473,-13.43358,2.0936,42.07328,-14.67611,29.55087,43.63554,-0.97879,3.67827,-1.49383,-0.58958,-6.67004,-32.857,0.6528,-0.04019,0.04019,0.00096,-0.03753,0.07872,-0.07447,-0.03899,0.02264,-0.05294,30.694,-14.10391,2.0176,41.91214,-14.72988,29.14937,43.71514,-0.95638,3.58212,-1.38068,-0.561,-6.41709,-34.21797,0.22964,-0.06181,0.03634,0.00193,-0.03351,0.06457,-0.07081,-0.04049,0.01992,-0.05616,30.97874,-16.90175,1.51652,41.14205,-14.12028,29.34587,44.07064,-1.866,4.21715,-2.31435,1.13693,107.8909,-67.13282,1.90996,-0.08939,0.07116,-0.00036,-0.03912,0.0177,-0.01516,-0.02666,0.06695,-0.08986,31.13457,-17.79203,1.3612,40.99857,-14.0075,29.52009,44.23545,-1.98368,4.86808,-2.8056,1.53578,131.38488,-76.29769,0.02296,-0.10055,0.09118,0.00064,-0.0365,0.01055,-0.00669,-0.02325,0.07725,-0.09812
44.79167,31.84991,-11.85866,2.35822,43.45701,-13.38051,29.2419,44.4712,-0.67316,3.33828,-1.49909,-0.68304,-5.94848,-23.63574,0.48927,-0.07008,0.04531,-0.0008,-0.02573,0.09263,-0.10101,-0.02379,0.01595,-0.05725,31.25197,-12.44683,2.33031,43.31361,-13.46936,28.90997,44.56926,-0.74552,3.2818,-1.39276,-0.63566,-6.73302,-24.77101,-0.07663,-0.09744,0.05087,-0.00086,-0.01748,0.09428,-0.1068,-0.02164,0.02689,-0.06312,31.22549,-15.08896,1.87537,42.38652,-12.86231,28.53166,44.74764,-1.83285,3.0813,-1.64823,0.8154,115.49587,-67.06166,-0.50008,-0.11657,0.07778,-0.00222,-0.01971,0.05236,-0.05083,-0.01647,0.0584,-0.09092,31.32366,-15.95274,1.69791,42.21744,-12.70009,28.58848,44.9178,-1.92162,3.52301,-2.00165,1.15412,140.93217,-77.53541,-2.53394,-0.1233,0.09301,-0.00099,-0.01825,0.04435,-0.03923,-0.01474,0.06814,-0.09678
46.875,32.73262,-10.48835,2.57015,44.75756,-12.2925,29.12443,45.40393,-0.66826,2.96203,-1.50205,-0.72759,-4.33173,-14.40594,0.52562,-0.09209,0.05054,-0.00082,-0.01475,0.10464,-0.12012,-0.01142,0.00513,-0.05855,32.26394,-11.06106,2.5863,44.624,-12.49527,28.87908,45.54433,-0.90366,2.93533,-1.40167,-0.6517,-5.68583,-14.31896,-0.03828,-0.11833,0.06245,-0.00154,-0.0051,0.11924,-0.13233,-0.00637,0.02906,-0.06551,31.95362,-13.36327,2.17563,43.57699,-12.12394,28.05432,45.49242,-2.05922,1.86543,-0.977,0.56323,117.46816,-56.60383,-2.37522,-0.12703,0.07592,-0.00441,-0.00421,0.08902,-0.08808,-0.00727,0.04793,-0.08734,31.98425,-14.14193,1.98942,43.39088,-11.93387,27.99488,45.66663,-2.09577,2.08419,-1.1914,0.84566,142.92776,-66.61817,-4.34997,-0.12834,0.08319,-0.00402,-0.00389,0.08112,-0.07533,-0.00735,0.05667,-0.09068
48.95833,33.87649,-9.30112,2.68565,45.94729,-11.32549,29.12409,46.37083,-1.09355,2.56006,-1.50014,-0.73118,-1.96134,-5.79749,0.73099,-0.10249,0.0555,0.00028,-0.00622,0.112,-0.12985,-0.00299,-0.01271,-0.05586,33.49763,-9.90718,2.72923,45.8296,-11.6633,28.93778,46.56296,-1.53245,2.54424,-1.39936,-0.6222,-2.90287,-3.50432,0.30436,-0.12217,0.06953,-0.00105,0.00149,0.13282,-0.14374,0.00328,0.0151,-0.0618,32.99424,-11.77939,2.33573,44.71092,-11.76612,27.81814,46.27693,-2.61739,0.57672,-0.32676,0.41539,114.97661,-37.74974,-3.72204,-0.12199,0.06645,-0.00589,0.0045,0.11958,-0.11764,0.00037,0.03145,-0.07835,32.96504,-12.4368,2.15445,44.51393,-11.58819,27.65971,46.4479,-2.58648,0.56999,-0.40871,0.65389,139.02606,-46.00819,-5.59033,-0.11897,0.0655,-0.00673,0.00415,0.11298,-0.10584,-0.00103,0.03904,-0.07986
51.04167,35.1271,-8.24704,2.65047,47.00531,-10.39316,29.1948,47.29887,-2.07105,2.14628,-1.49138,-0.70318,0.78377,1.79073,1.01568,-0.10169,0.05916,0.00134,-0.00057,0.11248,-0.13088,0.00183,-0.03731,-0.04956,34.78968,-8.90002,2.70472,46.91284,-10.82556,29.01509,47.52958,-2.72432,2.11989,-1.38062,-0.56099,1.23276,6.68871,0.79824,-0.11241,0.07145,-0.001,0.00305,0.13173,-0.14217,0.00744,-0.01907,-0.05262,34.21992,-10.35543,2.28366,45.77715,-11.55895,27.7225,47.07622,-3.59093,-0.75397,0.2839,0.37844,109.55589,-15.44559,-4.75973,-0.10746,0.05225,-0.00621,0.0065,0.13816,-0.13286,0.00587,0.00751,-0.06535,34.1526,-10.88535,2.11695,45.57448,-11.43839,27.49093,47.23384,-3.48589,-0.97938,0.32389,0.58813,131.55791,-21.43248,-6.64406,-0.10258,0.04558,-0.00787,0.00601,0.13396,-0.12336,0.00408,0.01368,-0.06614
53.125,36.38981,-7.27524,2.39647,47.9219,-9.4447,29.32592,48.13665,-3.6963,1.73756,-1.47554,-0.65283,3.38413,8.05313,1.26617,-0.0935,0.06017,0.00149,0.00278,0.10565,-0.12572,0.00421,-0.06385,-0.04136,36.06142,-7.95325,2.45497,47.85589,-9.89318,29.10348,48.37651,-4.56323,1.68431,-1.3465,-0.47992,5.60893,15.03415,1.25097,-0.09616,0.06842,-0.00232,0.00231,0.11758,-0.13229,0.00779,-0.06586,-0.04068,35.55455,-9.07688,1.97261,46.7551,-11.27656,27.70256,47.87773,-5.07899,-2.07348,0.84282,0.42968,102.30258,4.37527,-5.72573,-0.09118,0.03714,-0.0057,0.00445,0.14292,-0.13224,0.00873,-0.02002,-0.05153,35.47722,-9.4982,1.82515,46.55247,-11.24873,27.42294,48.01283,-4.89924,-2.50516,0.99385,0.62272,122.34709,0.40639,-7.8309,-0.08707,0.02859,-0.00726,0.00417,0.14185,-0.12522,0.00748,-0.01592,-0.05264
55.20833,37.62161,-6.35498,1.84217,48.70359,-8.47809,29.53272,48.87313,-6.01525,1.35197,-1.45438,-0.58832,5.36321,12.72557,1.39247,-0.08302,0.0577,0.00085,0.00484,0.09341,-0.11747,0.00538,-0.08395,-0.03367,37.29724,-7.01686,1.91002,48.65251,-8.86456,29.2438,49.09291,-7.10679,1.2663,-1.30451,-0.38792,8.85972,20.49106,1.51903,-0.08083,0.06158,-0.00433,0.00216,0.09621,-0.11978,0.00656,-0.10775,-0.02971,36.95446,-7.91156,1.37964,47.62474,-10.78012,27.74776,48.67624,-7.17683,-3.31716,1.34162,0.52855,93.60985,17.2726,-6.72053,-0.07932,0.02449,-0.00486,0.00194,0.1362,-0.11968,0.00888,-0.04244,-0.04069,36.89319,-8.25466,1.2536,47.42873,-10.85981,27.4375,48.78317,-6.9251,-3.94061,1.59447,0.71081,112.14087,14.59034,-9.20303,-0.0776,0.01744,-0.00557,0.00192,0.13847,-0.1143,0.00872,-0.04135,-0.04266
57.29167,38.80844,-5.48255,0.90375,49.37416,-7.52908,29.83715,49.53197,-9.00156,1.00615,-1.43092,-0.51622,6.48649,15.66639,1.3641,-0.07438,0.05216,0.00054,0.00639,0.07945,-0.10865,0.0061,-0.08902,-0.02862,38.50515,-6.09145,0.9883,49.31881,-7.80963,29.49061,49.71939,-10.34977,0.89416,-1.26525,-0.29102,10.05896,22.72735,1.56428,-0.07107,0.05286,-0.00482,0.00404,0.07519,-0.1088,0.00551,-0.12531,-0.02296,38.37816,-6.82911,0.49186,48.38036,-10.05315,27.89166,49.45775,-9.93438,-4.42481,1.77426,0.63465,83.51391,22.05325,-7.67249,-0.07433,0.0163,-0.00381,0.0016,0.12298,-0.10224,0.00703,-0.05018,-0.0357,38.35099,-7.1206,0.39047,48.19756,-10.23218,27.55851,49.53479,-9.61571,-5.22507,2.12113,0.80592,100.87388,19.86377,-10.54385,-0.0751,0.01228,-0.00357,0.0017,0.12824,-0.09733,0.00788,-0.05278,-0.03845
59.375,39.94305,-4.67339,-0.48203,49.96822,-6.64457,30.24962,50.14412,-12.54305,0.71226,-1.40784,-0.44103,6.87467,16.99959,1.21665,-0.06935,0.04528,0.00206,0.00774,0.06774,-0.10068,0.0066,-0.07454,-0.02724,39.6836,-5.21542,-0.3852,49.89335,-6.82267,29.8773,50.31088,-14.18607,0.588,-1.23705,-0.19265,9.23984,22.39585,1.45199,-0.06755,0.04464,-0.00139,0.00739,0.06062,-0.10081,0.00538,-0.10727,-0.02187,39.76615,-5.81565,-0.70762,49.03817,-9.17855,28.18135,50.18369,-13.31092,-5.35502,2.13767,0.72359,72.31605,20.91095,-8.42036,-0.0748,0.01286,-0.00192,0.00397,0.10852,-0.08683,0.00467,-0.03815,-0.03735,39.78089,-6.06892,-0.77797,48.87398,-9.43155,27.82622,50.23178,-12.93428,-6.3161,2.57047,0.88063,88.4508,18.70418,-11.53693,-0.07692,0.01128,-0.00135,0.004,0.11593,-0.0816,0.00592,-0.04422,-0.0404
