stride_pct,RL | leg1_a angle (deg),RL | leg1_e angle (deg),RL | leg2_a angle (deg),RL | leg2_e angle (deg),RL | leg3_a angle (deg),RL | leg3_e angle (deg),RL | leg4_a angle (deg),RL | leg4_e angle (deg),RL | spine angle (deg),RL | IMU pitch (deg),RL | IMU roll (deg),RL | pitch rate (deg/s),RL | roll rate (deg/s),RL | yaw rate (deg/s),RL | leg1_a torque (N m),RL | leg1_e torque (N m),RL | leg2_a torque (N m),RL | leg2_e torque (N m),RL | leg3_a torque (N m),RL | leg3_e torque (N m),RL | leg4_a torque (N m),RL | leg4_e torque (N m),RL | spine torque (N m),Before correction | leg1_a angle (deg),Before correction | leg1_e angle (deg),Before correction | leg2_a angle (deg),Before correction | leg2_e angle (deg),Before correction | leg3_a angle (deg),Before correction | leg3_e angle (deg),Before correction | leg4_a angle (deg),Before correction | leg4_e angle (deg),Before correction | spine angle (deg),Before correction | IMU pitch (deg),Before correction | IMU roll (deg),Before correction | pitch rate (deg/s),Before correction | roll rate (deg/s),Before correction | yaw rate (deg/s),Before correction | leg1_a torque (N m),Before correction | leg1_e torque (N m),Before correction | leg2_a torque (N m),Before correction | leg2_e torque (N m),Before correction | leg3_a torque (N m),Before correction | leg3_e torque (N m),Before correction | leg4_a torque (N m),Before correction | leg4_e torque (N m),Before correction | spine torque (N m),After correction | leg1_a angle (deg),After correction | leg1_e angle (deg),After correction | leg2_a angle (deg),After correction | leg2_e angle (deg),After correction | leg3_a angle (deg),After correction | leg3_e angle (deg),After correction | leg4_a angle (deg),After correction | leg4_e angle (deg),After correction | spine angle (deg),After correction | IMU pitch (deg),After correction | IMU roll (deg),After correction | pitch rate (deg/s),After correction | roll rate (deg/s),After correction | yaw rate (deg/s),After correction | leg1_a torque (N m),After correction | leg1_e torque (N m),After correction | leg2_a torque (N m),After correction | leg2_e torque (N m),After correction | leg3_a torque (N m),After correction | leg3_e torque (N m),After correction | leg4_a torque (N m),After correction | leg4_e torque (N m),After correction | spine torque (N m)
21.875,40.74167,-19.05714,-35.56501,-0.35289,-21.19514,44.5648,25.16177,-9.42481,-0.63868,-2.84356,0.54015,3.33973,-24.31499,-2.42923,0.01483,-0.00038,0.11406,-0.01975,-0.00951,-0.00277,-0.09903,0.1036,-0.01153,40.78005,-22.66664,-34.78856,-0.49003,-21.28643,46.05662,24.92044,-8.40834,-0.80752,-2.86923,0.4353,7.80091,-25.51066,-3.25275,0.01446,0.01306,0.10484,-0.01932,-0.00733,-0.00144,-0.08373,0.09575,-0.01281,40.80214,-21.91185,-35.23424,-0.38832,-21.30157,45.96942,24.57521,-8.58982,-0.58473,-2.85302,0.14352,6.71896,-27.01694,-1.66684,0.01516,0.01184,0.10672,-0.01977,-0.00692,-0.0029,-0.08105,0.09458,-0.0129
23.95833,39.44832,-18.30477,-36.03997,-0.65593,-20.31707,44.14273,25.80609,-8.58221,-0.78303,-2.82637,0.39606,6.04797,-27.52159,-0.95584,0.01281,-0.00289,0.11045,-0.01998,-0.00595,-0.00028,-0.10209,0.10131,-0.00949,39.45093,-21.58837,-35.30379,-0.80957,-20.42553,45.65746,25.55834,-7.6783,-0.92323,-2.84086,0.28486,7.43413,-27.66589,-0.55238,0.01156,0.00711,0.1048,-0.01952,0.00086,-0.01002,-0.09133,0.10181,-0.01214,39.44464,-20.64862,-35.76871,-0.70691,-20.42655,45.56733,25.24197,-7.81633,-0.7,-2.8305,-0.01546,6.56177,-29.32636,1.10261,0.01281,0.00445,0.10583,-0.01887,0.00091,-0.0102,-0.08774,0.09934,-0.01217
26.04167,38.23324,-17.01371,-36.5871,-0.92081,-19.451,43.16164,26.53665,-7.83793,-0.90124,-2.79767,0.24056,8.37238,-30.47198,0.79377,0.01027,-0.00627,0.10668,-0.02013,-0.0028,0.00258,-0.10294,0.09966,-0.00866,38.16946,-19.82037,-35.89293,-1.01782,-19.53681,44.62792,26.30558,-6.96488,-1.00899,-2.81322,0.13003,7.01657,-29.8002,2.27149,0.0112,-0.00574,0.10386,-0.02014,0.00432,-0.01229,-0.09756,0.10607,-0.01276,38.14421,-18.69666,-36.36637,-0.91476,-19.51818,44.51359,26.01994,-7.06197,-0.78522,-2.80723,-0.18107,6.40283,-31.98431,3.96127,0.01263,-0.0089,0.1043,-0.01858,0.00343,-0.01067,-0.09365,0.10358,-0.01288
28.125,37.05868,-15.38092,-37.24997,-1.14326,-18.53179,41.67675,27.40877,-7.25917,-0.99495,-2.75367,0.07236,10.93083,-33.15537,2.43482,0.00625,-0.00793,0.10152,-0.02026,-0.0006,0.00559,-0.09978,0.09625,-0.00877,36.87052,-17.64518,-36.58866,-1.13118,-18.52085,42.94939,27.19714,-6.31201,-1.06922,-2.77466,-0.02699,8.89228,-32.02486,4.54669,0.01352,-0.01979,0.10017,-0.02214,0.00013,-0.0024,-0.09811,0.10266,-0.0142,36.83755,-16.38494,-37.0681,-1.02095,-18.48047,42.80015,26.94593,-6.37801,-0.84553,-2.77093,-0.35173,8.57158,-34.76848,6.13453,0.01437,-0.02202,0.10058,-0.0204,-0.00158,0.00032,-0.09447,0.10132,-0.0145
30.20833,35.92406,-13.63019,-38.06988,-1.33114,-17.51958,39.81431,28.46659,-6.9465,-1.06927,-2.68849,-0.10871,14.27136,-35.48164,3.49368,-0.00093,-0.00508,0.09388,-0.02036,0.00141,0.00708,-0.0916,0.08905,-0.00936,35.55234,-15.38646,-37.43443,-1.21224,-17.33168,40.73269,28.26496,-5.86018,-1.11304,-2.707,-0.18451,14.49495,-34.12254,5.55229,0.01572,-0.02729,0.09302,-0.02581,-0.01014,0.01757,-0.09063,0.08915,-0.01571,35.52603,-14.07249,-37.92814,-1.08838,-17.27844,40.55693,28.0525,-5.90826,-0.89139,-2.70341,-0.52438,14.41821,-37.06964,6.83865,0.01506,-0.02732,0.09387,-0.02472,-0.01166,0.01955,-0.08746,0.08934,-0.01613
32.29167,34.87022,-11.95995,-39.06872,-1.50086,-16.41622,37.75506,29.73187,-7.01139,-1.13087,-2.59784,-0.30008,18.39291,-37.20863,3.61285,-0.013,0.00412,0.08323,-0.02021,0.00558,0.0037,-0.07883,0.07731,-0.00985,34.28679,-13.32345,-38.46548,-1.33884,-16.00306,38.22065,29.53444,-5.81446,-1.15263,-2.59517,-0.34104,23.26324,-35.51646,4.78439,0.01274,-0.02168,0.08284,-0.03006,-0.01984,0.03674,-0.07608,0.06784,-0.01628,34.28424,-12.04766,-38.98854,-1.20413,-15.95898,38.04521,29.36626,-5.85655,-0.93613,-2.59075,-0.6948,23.232,-38.09586,5.58795,0.00984,-0.01918,0.08414,-0.03002,-0.01957,0.03575,-0.07312,0.06893,-0.01671
34.375,33.96184,-10.50153,-40.23565,-1.66197,-15.27109,35.69616,31.19373,-7.54548,-1.18521,-2.48314,-0.49536,22.51099,-37.90341,2.74279,-0.03099,0.01966,0.06986,-0.01938,0.01519,-0.00862,-0.06337,0.06195,-0.00949,33.19209,-11.62677,-39.68646,-1.55263,-14.64683,35.73066,31.01086,-6.37112,-1.19983,-2.43715,-0.49409,32.5543,-35.37816,2.21167,-0.00064,-0.00069,0.0707,-0.03262,-0.0195,0.03956,-0.0581,0.04448,-0.01486,33.23011,-10.45981,-40.25188,-1.42307,-14.64151,35.59033,30.89541,-6.41508,-0.9917,-2.43322,-0.85786,32.22133,-37.10747,2.45388,-0.00589,0.00349,0.07192,-0.03337,-0.01594,0.03414,-0.05495,0.04529,-0.0152
36.45833,33.25841,-9.30219,-41.52494,-1.79646,-14.17298,33.80368,32.80297,-8.59313,-1.2338,-2.35398,-0.68475,25.23569,-36.99677,1.22652,-0.05453,0.0394,0.05487,-0.01744,0.03301,-0.03308,-0.04782,0.04509,-0.00757,32.38223,-10.33766,-41.05814,-1.8131,-13.42134,33.55753,32.66186,-7.63598,-1.26173,-2.24872,-0.6386,38.68603,-32.86988,-1.58661,-0.02714,0.03248,0.05766,-0.0311,-0.00104,0.01323,-0.04105,0.02511,-0.01053,32.47258,-9.30789,-41.66759,-1.71356,-13.4807,33.47921,32.61167,-7.68563,-1.06385,-2.24932,-1.0072,37.65555,-33.60339,-1.83445,-0.03409,0.03643,0.0581,-0.03196,0.0064,0.00358,-0.03758,0.02467,-0.01085
38.54167,32.78875,-8.33648,-42.86678,-1.84434,-13.22964,32.17337,34.47404,-10.13766,-1.27255,-2.22727,-0.85665,25.11034,-33.96575,-0.27599,-0.08175,0.05972,0.03989,-0.01417,0.05965,-0.07025,-0.03436,0.02907,-0.00353,31.91798,-9.39228,-42.50243,-1.98385,-12.48178,31.87813,34.40716,-9.57458,-1.33658,-2.06017,-0.76598,38.61399,-27.47421,-5.48964,-0.06526,0.07014,0.04448,-0.02447,0.03792,-0.04538,-0.02777,0.01309,-0.00294,32.0628,-8.48302,-43.14178,-1.9372,-12.61604,31.86748,34.43755,-9.63161,-1.14833,-2.07129,-1.13476,36.61286,-27.45016,-6.01983,-0.07257,0.07165,0.04366,-0.02481,0.04846,-0.05719,-0.02441,0.01119,-0.00347
40.625,32.54057,-7.53747,-44.18729,-1.70579,-12.54131,30.81442,36.09524,-12.10585,-1.29201,-2.12327,-1.00043,21.26003,-28.6076,-1.00664,-0.10972,0.07668,0.02659,-0.00979,0.09258,-0.11705,-0.02397,0.01554,0.00283,31.782,-8.67317,-43.92567,-1.86388,-11.93216,30.70034,36.1241,-12.01994,-1.41199,-1.90622,-0.865,31.38445,-19.30893,-8.13205,-0.10926,0.10299,0.03159,-0.01395,0.09185,-0.1269,-0.01853,0.0077,0.0075,31.97181,-7.83837,-44.5679,-1.87963,-12.12914,30.73759,36.24906,-12.0857,-1.22996,-1.93393,-1.23112,28.42044,-18.97788,-8.66932,-0.11533,0.10047,0.02969,-0.01363,0.1035,-0.13761,-0.01615,0.00503,0.00644
