stride_pct,RL | leg1_a angle (deg),RL | leg1_e angle (deg),RL | leg2_a angle (deg),RL | leg2_e angle (deg),RL | leg3_a angle (deg),RL | leg3_e angle (deg),RL | leg4_a angle (deg),RL | leg4_e angle (deg),RL | spine angle (deg),RL | IMU pitch (deg),RL | IMU roll (deg),RL | pitch rate (deg/s),RL | roll rate (deg/s),RL | yaw rate (deg/s),RL | leg1_a torque (N m),RL | leg1_e torque (N m),RL | leg2_a torque (N m),RL | leg2_e torque (N m),RL | leg3_a torque (N m),RL | leg3_e torque (N m),RL | leg4_a torque (N m),RL | leg4_e torque (N m),RL | spine torque (N m),Before correction | leg1_a angle (deg),Before correction | leg1_e angle (deg),Before correction | leg2_a angle (deg),Before correction | leg2_e angle (deg),Before correction | leg3_a angle (deg),Before correction | leg3_e angle (deg),Before correction | leg4_a angle (deg),Before correction | leg4_e angle (deg),Before correction | spine angle (deg),Before correction | IMU pitch (deg),Before correction | IMU roll (deg),Before correction | pitch rate (deg/s),Before correction | roll rate (deg/s),Before correction | yaw rate (deg/s),Before correction | leg1_a torque (N m),Before correction | leg1_e torque (N m),Before correction | leg2_a torque (N m),Before correction | leg2_e torque (N m),Before correction | leg3_a torque (N m),Before correction | leg3_e torque (N m),Before correction | leg4_a torque (N m),Before correction | leg4_e torque (N m),Before correction | spine torque (N m),After correction | leg1_a angle (deg),After correction | leg1_e angle (deg),After correction | leg2_a angle (deg),After correction | leg2_e angle (deg),After correction | leg3_a angle (deg),After correction | leg3_e angle (deg),After correction | leg4_a angle (deg),After correction | leg4_e angle (deg),After correction | spine angle (deg),After correction | IMU pitch (deg),After correction | IMU roll (deg),After correction | pitch rate (deg/s),After correction | roll rate (deg/s),After correction | yaw rate (deg/s),After correction | leg1_a torque (N m),After correction | leg1_e torque (N m),After correction | leg2_a torque (N m),After correction | leg2_e torque (N m),After correction | leg3_a torque (N m),After correction | leg3_e torque (N m),After correction | leg4_a torque (N m),After correction | leg4_e torque (N m),After correction | spine torque (N m)
42.70833,32.4679,-6.8327,-45.42837,-1.26268,-12.17682,29.66162,37.54485,-14.38821,-1.27952,-2.05997,-1.10924,13.83023,-21.28808,-0.38777,-0.1354,0.08729,0.01615,-0.00484,0.12639,-0.1671,-0.01632,0.00502,0.01117,31.88799,-8.06246,-45.24914,-1.25412,-11.79831,29.87787,37.66977,-14.73461,-1.46654,-1.81385,-0.92499,18.61015,-9.28833,-8.35275,-0.15109,0.12355,0.01952,-0.0027,0.1486,-0.21241,-0.01164,0.00521,0.01953,32.1035,-7.25226,-45.86386,-1.32325,-12.02569,29.92501,37.89633,-14.81047,-1.28537,-1.86208,-1.28763,15.022,-9.03873,-8.64785,-0.15461,0.1167,0.01731,-0.00215,0.1589,-0.21893,-0.01104,0.00288,0.01771
44.79167,32.51078,-6.16992,-46.55801,-0.41263,-12.15975,28.60913,38.70856,-16.86626,-1.22257,-2.0482,-1.18198,3.99717,-13.01236,1.75334,-0.15647,0.09042,0.00893,4e-05,0.15436,-0.21241,-0.01031,-0.00284,0.02064,32.11717,-7.47574,-46.43116,-0.03019,-12.03141,29.18139,38.91112,-17.49722,-1.47502,-1.79381,-0.9403,3.73255,0.98932,-5.6351,-0.18334,0.12862,0.00908,0.00564,0.19374,-0.28096,-0.00515,0.00159,0.03131,32.33445,-6.65938,-46.99644,-0.12959,-12.24731,29.19735,39.23488,-17.58325,-1.28889,-1.86291,-1.2999,0.08381,1.03316,-5.54313,-0.18378,0.11857,0.00748,0.00577,0.20076,-0.28161,-0.00652,0.00042,0.02873
46.875,32.61651,-5.52527,-47.56588,0.89816,-12.46824,27.55068,39.49385,-19.43695,-1.11231,-2.08944,-1.22357,-6.45311,-5.21783,5.10715,-0.1719,0.0869,0.00448,0.00441,0.17074,-0.24575,-0.0049,-0.00864,0.02995,32.36341,-6.86993,-47.46825,1.81217,-12.5374,28.39125,39.75012,-20.17234,-1.41579,-1.83955,-0.91386,-9.52427,9.65832,-0.35409,-0.20191,0.11987,0.00124,0.0089,0.2162,-0.31786,0.00157,-0.00495,0.04095,32.56043,-6.04575,-47.97943,1.70812,-12.7047,28.34782,40.15437,-20.26574,-1.22004,-1.92622,-1.27118,-12.6726,9.64242,0.13291,-0.19969,0.1087,0.00082,0.00824,0.21928,-0.31308,-0.00114,-0.00491,0.03788
48.95833,32.75326,-4.89604,-48.44672,2.65699,-13.04646,26.41035,39.83848,-22.02687,-0.94627,-2.17705,-1.24315,-15.76759,0.68438,8.98168,-0.18188,0.07891,0.00181,0.0081,0.17288,-0.26285,0.00025,-0.0126,0.03777,32.56664,-6.23234,-48.37441,4.15982,-13.21679,27.37009,40.13392,-22.73331,-1.27789,-1.93311,-0.85769,-18.69545,15.19825,6.29431,-0.20716,0.10246,-0.0033,0.00752,0.21253,-0.32002,0.00738,-0.01298,0.04707,32.72854,-5.42214,-48.84584,4.06716,-13.3148,27.26124,40.59301,-22.82819,-1.06995,-2.03202,-1.21336,-21.02542,15.35549,7.06797,-0.20344,0.09239,-0.0027,0.0063,0.2124,-0.31207,0.00461,-0.01244,0.04401
51.04167,32.91213,-4.28674,-49.18054,4.78798,-13.82209,25.15441,39.7136,-24.59446,-0.72938,-2.29974,-1.25084,-22.78606,3.848,12.53421,-0.1873,0.06903,-0.00012,0.01117,0.16206,-0.26347,0.0048,-0.01446,0.04304,32.72187,-5.56505,-49.14954,6.8298,-13.99605,26.08785,40.04921,-25.2334,-1.06504,-2.0545,-0.78914,-23.34561,17.01328,12.67978,-0.2031,0.08264,-0.00463,0.00434,0.18784,-0.29575,0.01045,-0.019,0.04928,32.843,-4.79793,-49.60872,6.74933,-14.02472,25.92875,40.53464,-25.3226,-0.84452,-2.16063,-1.14401,-24.91042,17.42062,13.57289,-0.19926,0.07515,-0.00378,0.00332,0.18613,-0.2876,0.00887,-0.01887,0.04672
53.125,33.09998,-3.69853,-49.72102,7.17273,-14.72299,23.78503,39.12392,-27.12262,-0.47329,-2.44566,-1.25411,-27.17911,4.36101,15.03796,-0.18912,0.05932,-0.00201,0.01362,0.14296,-0.25097,0.00822,-0.01378,0.04526,32.86436,-4.87565,-49.7554,9.63568,-14.8382,24.59783,39.50885,-27.74648,-0.79501,-2.1892,-0.72417,-24.75944,15.71433,17.29885,-0.1951,0.06534,-0.00384,0.00287,0.15318,-0.25964,0.00994,-0.01978,0.04814,32.94691,-4.17124,-50.23221,9.55666,-14.81367,24.41521,39.9952,-27.82475,-0.56303,-2.2999,-1.08002,-25.92723,16.1617,18.14998,-0.19219,0.06075,-0.00363,0.00281,0.15153,-0.2537,0.01011,-0.02054,0.0464
55.20833,33.32917,-3.12701,-49.99945,9.67634,-15.68794,22.32462,38.10759,-29.60643,-0.19402,-2.60509,-1.25534,-29.30889,3.2418,16.08038,-0.18793,0.05088,-0.00406,0.01519,0.12174,-0.23072,0.0104,-0.01053,0.04458,33.04215,-4.17678,-50.11402,12.43807,-15.73205,22.98633,38.54279,-30.31072,-0.49434,-2.33057,-0.67051,-24.84583,12.93474,19.28399,-0.18743,0.05284,-0.00264,0.00512,0.12062,-0.22538,0.00712,-0.01455,0.04491,33.09255,-3.53671,-50.62972,12.34814,-15.67675,22.80562,39.01069,-30.37728,-0.25267,-2.44627,-1.03034,-26.08623,13.00466,19.9817,-0.18575,0.05043,-0.00349,0.00625,0.11987,-0.22258,0.00862,-0.01588,0.04402
57.29167,33.61007,-2.56738,-49.94439,12.16608,-16.67025,20.80178,36.73633,-32.03981,0.09109,-2.77104,-1.25142,-29.84984,2.02161,15.62937,-0.18391,0.04383,-0.00608,0.01538,0.10385,-0.20806,0.01186,-0.00544,0.04164,33.29114,-3.48883,-50.13201,15.15438,-16.67043,21.32694,37.20065,-32.9016,-0.19059,-2.47694,-0.62419,-24.94851,10.70655,18.64912,-0.18167,0.04484,-0.00255,0.01024,0.09845,-0.20027,0.00495,-0.00545,0.04089,33.31645,-2.89961,-50.69214,15.04846,-16.60297,21.16269,37.63598,-32.9606,0.05892,-2.60023,-0.99155,-26.57846,10.02415,19.14291,-0.18082,0.0434,-0.00411,0.01195,0.09839,-0.19994,0.00667,-0.00644,0.04064
59.375,33.94886,-2.02104,-49.50861,14.51592,-17.6363,19.24581,35.11367,-34.40297,0.36652,-2.93834,-1.23589,-29.40357,2.07957,13.96602,-0.17712,0.03781,-0.00779,0.01374,0.09232,-0.18673,0.01344,0.00015,0.03733,33.62345,-2.83811,-49.7399,17.72676,-17.63218,19.66166,35.5633,-35.44011,0.09513,-2.62639,-0.57153,-25.23753,10.63787,16.1745,-0.17675,0.03956,-0.00421,0.01481,0.08871,-0.18384,0.00635,0.00377,0.03693,33.6295,-2.282,-50.33329,17.60774,-17.56178,19.5149,35.95415,-35.49845,0.35051,-2.76017,-0.94909,-27.27065,9.1307,16.45728,-0.17595,0.03803,-0.00553,0.01596,0.08837,-0.18443,0.00719,0.00397,0.03705
61.45833,34.3494,-1.49775,-48.69143,16.60066,-18.56296,17.68932,33.36724,-36.65146,0.62095,-3.10226,-1.20246,-28.2985,4.03857,11.53746,-0.16793,0.03245,-0.00907,0.01029,0.0873,-0.16825,0.01565,0.00486,0.03247,34.03153,-2.24768,-48.92688,20.07105,-18.57899,18.01119,33.75178,-37.82062,0.35219,-2.7733,-0.4961,-24.95163,13.25182,12.99661,-0.17037,0.03508,-0.00703,0.0149,0.08782,-0.17066,0.01211,0.01,0.03323,34.02333,-1.71396,-49.52992,19.94066,-18.50629,17.87341,34.08596,-37.88469,0.61103,-2.91913,-0.88427,-27.14035,11.23847,13.07574,-0.16897,0.03304,-0.00718,0.0145,0.08623,-0.17072,0.01165,0.01152,0.03351
63.54167,34.81607,-1.01147,-47.5459,18.29041,-19.43676,16.17303,31.63247,-38.70822,0.8484,-3.25796,-1.14842,-26.62095,7.52345,8.80483,-0.15719,0.0277,-0.01006,0.00582,0.08679,-0.15233,0.0181,0.00791,0.02761,34.50185,-1.72547,-47.75275,22.04159,-19.46843,16.39871,31.91977,-39.93499,0.58014,-2.90887,-0.38737,-23.22653,17.80121,10.10153,-0.16079,0.03031,-0.00963,0.0086,0.08968,-0.15519,0.01985,0.01245,0.02942,34.48541,-1.21543,-48.3367,21.88613,-19.39081,16.25865,32.18536,-40.00842,0.83929,-3.06653,-0.78396,-25.27591,15.82575,9.97637,-0.15864,0.02801,-0.00841,0.00656,0.0865,-0.15418,0.0187,0.01447,0.02985
65.625,35.35518,-0.57276,-46.16767,19.45702,-20.2557,14.7458,30.02845,-40.46202,1.04804,-3.40098,-1.07635,-24.37485,11.41678,6.14499,-0.14604,0.0238,-0.01104,0.00173,0.08801,-0.1379,0.01957,0.00941,0.02302,35.02888,-1.25874,-46.33058,23.43842,-20.27515,14.86588,30.22323,-41.67726,0.78449,-3.02523,-0.24678,-19.9022,22.66484,7.95766,-0.14803,0.02521,-0.01081,-0.00228,0.08932,-0.13564,0.02514,0.01261,0.02507,35.01287,-0.78206,-46.86897,23.2192,-20.19258,14.71469,30.41264,-41.7613,1.04027,-3.19386,-0.64829,-21.72932,21.15666,7.61388,-0.14563,0.02328,-0.00898,-0.00486,0.0851,-0.13406,0.02453,0.01379,0.02582
67.70833,35.97451,-0.18299,-44.6703,19.99693,-21.03201,13.4573,28.63186,-41.77654,1.22273,-3.52806,-0.99295,-21.60524,14.49867,3.82388,-0.13549,0.0211,-0.01211,-0.00054,0.08876,-0.12408,0.01875,0.01014,0.01879,35.62228,-0.82102,-44.78836,24.06098,-21.00765,13.4687,28.77486,-42.93216,0.97117,-3.11981,-0.08788,-15.7523,26.15504,6.4469,-0.13392,0.02052,-0.01041,-0.01262,0.08516,-0.11468,0.02408,0.01256,0.02014,35.61806,-0.38696,-45.26286,23.71783,-20.92544,13.30099,28.89002,-43.02836,1.2201,-3.29988,-0.49197,-17.62668,25.12089,5.86704,-0.13211,0.01947,-0.00936,-0.01391,0.08105,-0.11364,0.02504,0.01196,0.02139
69.79167,36.68221,0.16543,-43.15785,19.8637,-21.79308,12.347,27.45781,-42.5126,1.37696,-3.63727,-0.90568,-18.37744,16.15162,2.01917,-0.12599,0.01973,-0.01291,-0.0003,0.08799,-0.11063,0.01518,0.01085,0.01499,36.30491,-0.38984,-43.22894,23.78589,-21.71092,12.25726,27.60251,-43.56658,1.14226,-3.19657,0.06975,-11.97918,27.3552,5.10054,-0.12097,0.01711,-0.00952,-0.01639,0.079,-0.09713,0.01606,0.01295,0.01515,36.32472,0.00062,-43.63297,23.25615,-21.63796,12.0688,27.65774,-43.67964,1.38205,-3.39133,-0.33799,-14.43467,26.31839,4.28267,-0.12051,0.01703,-0.01043,-0.01485,0.07603,-0.09751,0.01868,0.01076,0.01695
71.875,37.48655,0.48309,-41.70563,19.0954,-22.57851,11.4367,26.45619,-42.56115,1.51473,-3.72689,-0.81843,-14.63611,16.76088,0.85086,-0.11716,0.01953,-0.01249,0.00173,0.08571,-0.09785,0.00987,0.01172,0.01175,37.10485,0.03518,-41.70771,22.63168,-22.45303,11.25627,26.63393,-43.4453,1.29497,-3.26236,0.21,-9.31446,26.57507,3.49405,-0.11097,0.01564,-0.00982,-0.01009,0.07402,-0.08623,0.0048,0.01207,0.01104,37.15873,0.39106,-42.04802,21.87795,-22.39719,11.04152,26.65336,-43.5832,1.52515,-3.47765,-0.20632,-12.84674,24.84855,2.4693,-0.11205,0.01614,-0.01275,-0.00555,0.07251,-0.08814,0.00796,0.00971,0.01322
73.95833,38.39588,0.77623,-40.35505,17.82096,-23.43301,10.73311,25.52747,-41.87854,1.63811,-3.79329,-0.72848,-10.08267,17.58071,0.38738,-0.10806,0.02004,-0.00948,0.00335,0.08226,-0.0861,0.00498,0.01233,0.00921,38.04558,0.42667,-40.23735,20.77723,-23.30237,10.4638,25.72046,-42.47755,1.4239,-3.32031,0.32839,-7.34662,25.18495,1.58095,-0.10401,0.01634,-0.01228,0.00477,0.07228,-0.08122,-0.00321,0.00695,0.00863,38.13868,0.76179,-40.5337,19.81119,-23.26646,10.21627,25.72991,-42.64743,1.64585,-3.56226,-0.10317,-12.03749,22.36634,0.4241,-0.10614,0.01681,-0.01577,0.01064,0.07161,-0.08391,-0.00127,0.00639,0.01087
76.04167,39.4171,1.04354,-39.12168,16.23781,-24.39683,10.24072,24.55478,-40.51191,1.74681,-3.82932,-0.6264,-4.22507,20.10284,0.62207,-0.09766,0.02074,-0.00248,0.00155,0.07774,-0.07541,0.00258,0.01225,0.00741,39.13806,0.74304,-38.8145,18.52198,-24.3061,9.87333,24.69505,-40.67831,1.52516,-3.36418,0.43451,-4.58368,24.89064,-0.21532,-0.09858,0.01904,-0.01592,0.02154,0.0732,-0.0777,-0.0025,-0.00377,0.00811,39.26939,1.06766,-39.09687,17.41155,-24.2872,9.58956,24.71106,-40.87936,1.74121,-3.63561,-0.01644,-9.85282,21.31242,-1.38369,-0.10065,0.01899,-0.01742,0.02563,0.07215,-0.07999,-0.0031,-0.00132,0.01008
78.125,40.55087,1.27962,-38.00917,14.56563,-25.49643,9.9786,23.44247,-38.60305,1.83875,-3.82463,-0.49923,3.34714,25.22249,1.44094,-0.0854,0.0212,0.0095,-0.00635,0.07181,-0.06536,0.00307,0.01211,0.00614,40.37531,0.95612,-37.451,16.20275,-25.47872,9.50731,23.4419,-38.21149,1.59971,-3.37791,0.54722,0.68822,26.79322,-1.20092,-0.09243,0.02314,-0.01741,0.03092,0.07389,-0.07036,0.00749,-0.01716,0.00876,40.53828,1.27134,-37.75419,15.05704,-25.47165,9.19212,23.46307,-38.42856,1.81203,-3.67491,0.07966,-3.95175,23.64642,-2.22091,-0.09323,0.02243,-0.01442,0.02999,0.07127,-0.07137,0.00449,-0.01233,0.01032
80.20833,41.78391,1.48289,-37.02103,12.99282,-26.73753,9.99093,22.14857,-36.36575,1.91138,-3.7685,-0.33603,12.56878,32.61577,2.61277,-0.07149,0.02115,0.02667,-0.02143,0.06396,-0.05536,0.00421,0.01426,0.00489,41.72911,1.0769,-36.19125,14.10178,-26.80301,9.43946,21.94823,-35.38337,1.65414,-3.34168,0.68471,9.20329,30.697,-0.79798,-0.08384,0.02755,-0.01203,0.02504,0.07085,-0.05655,0.02059,-0.02529,0.00913,41.91354,1.37582,-36.54691,13.03839,-26.80598,9.10881,21.95323,-35.58585,1.86376,-3.65222,0.21259,6.68424,29.69481,-1.48642,-0.0825,0.02644,-0.0034,0.0173,0.06624,-0.05613,0.01719,-0.02078,0.01038
82.29167,43.0823,1.66144,-36.16437,11.63576,-28.10173,10.34301,20.70015,-34.04134,1.96287,-3.65461,-0.13339,22.60836,40.65499,3.82092,-0.05688,0.02046,0.04839,-0.04247,0.05412,-0.04507,0.00145,0.02259,0.00296,43.14932,1.16154,-35.10507,12.38203,-28.23917,9.78677,20.31489,-32.57526,1.6983,-3.24227,0.85411,19.8887,35.02289,1.08529,-0.07241,0.03074,0.00448,0.0013,0.06211,-0.03803,0.02564,-0.01754,0.00757,43.3436,1.43672,-35.53309,11.49029,-28.25805,9.46513,20.26874,-32.72395,1.90487,-3.54767,0.39739,20.7435,37.7099,0.90694,-0.06876,0.02969,0.01775,-0.0126,0.05607,-0.03683,0.02505,-0.01721,0.00885
84.375,44.39073,1.83055,-35.44593,10.52519,-29.54624,11.102,19.18741,-31.84572,1.99273,-3.48568,0.10136,31.89421,46.93641,4.73251,-0.04279,0.01903,0.07328,-0.06615,0.04291,-0.03459,-0.01038,0.04124,-0.00029,44.5675,1.28828,-34.25994,11.07151,-29.73433,10.6685,18.72115,-30.13517,1.7407,-3.08244,1.04585,29.96982,37.39921,3.89712,-0.05903,0.03102,0.03383,-0.03612,0.04833,-0.02007,0.01135,0.01463,0.00296,44.76035,1.5409,-34.76206,10.38732,-29.78306,10.38087,18.58754,-30.19599,1.94316,-3.36139,0.62728,34.73195,44.41562,4.36365,-0.05364,0.03043,0.0487,-0.0531,0.04218,-0.01906,0.01658,0.00753,0.00463
86.45833,45.64173,2.00008,-34.86465,9.62207,-31.00618,12.30983,17.73957,-29.92495,2.00159,-3.27557,0.3507,38.52672,49.20125,5.07943,-0.03028,0.01681,0.09954,-0.08801,0.03163,-0.02447,-0.03449,0.0726,-0.0052,45.90745,1.51195,-33.68809,10.09433,-31.22705,12.14956,17.35973,-28.27171,1.78418,-2.88418,1.23556,36.06088,35.67702,6.58804,-0.04522,0.02715,0.07388,-0.0777,0.03241,-0.00819,-0.02795,0.07276,-0.0048,46.08896,1.75648,-34.2467,9.5969,-31.32346,11.91171,17.11411,-28.23109,1.98175,-3.11787,0.87371,44.31689,46.33988,7.74734,-0.03915,0.02718,0.08643,-0.0934,0.02759,-0.00807,-0.01561,0.05735,-0.00257
88.54167,46.77334,2.15629,-34.40702,8.85241,-32.39893,13.96096,16.49202,-28.33325,1.99024,-3.04764,0.59131,40.93967,46.24241,4.71956,-0.01986,0.01381,0.12531,-0.10394,0.02165,-0.01531,-0.07013,0.1156,-0.01167,47.10222,1.81739,-33.3669,9.32714,-32.64615,14.19782,16.37137,-26.99661,1.82357,-2.68339,1.39276,35.72636,28.91059,8.00108,-0.03224,0.01911,0.11895,-0.11231,0.0179,-0.00469,-0.08844,0.14894,-0.0147,47.26484,2.07827,-33.95017,8.95766,-32.80536,14.00963,16.00911,-26.87165,2.01672,-2.85989,1.09605,46.23901,41.33907,9.78184,-0.02665,0.01964,0.12594,-0.12285,0.0153,-0.0055,-0.07034,0.12759,-0.01204
90.625,47.7486,2.24777,-34.04871,8.14416,-33.63067,15.99587,15.55591,-27.0385,1.95844,-2.82941,0.80052,38.5195,38.39648,3.65802,-0.01152,0.0102,0.14888,-0.11147,0.01386,-0.00754,-0.11201,0.16518,-0.01915,48.1131,2.09695,-33.22359,8.65284,-33.9086,16.67982,15.8066,-26.14164,1.84679,-2.51801,1.49247,28.69944,17.85633,7.33005,-0.02066,0.00844,0.16155,-0.13154,0.00721,-0.00721,-0.15716,0.22748,-0.02501,48.25283,2.39852,-33.79569,8.34506,-34.13732,16.5257,15.34308,-25.97952,2.03741,-2.63426,1.25661,39.82136,29.60951,9.5381,-0.01641,0.00925,0.16176,-0.13508,0.00681,-0.00832,-0.13702,0.20523,-0.02231
92.70833,48.56677,2.18464,-33.76214,7.45108,-34.60578,18.31386,14.99854,-25.94997,1.90439,-2.64565,0.96252,31.88379,27.41619,2.02819,-0.00493,0.00637,0.16891,-0.11038,0.00827,-0.00121,-0.15173,0.21336,-0.02679,48.94166,2.16792,-33.16252,7.99161,-34.92235,19.40077,15.62825,-25.44158,1.83871,-2.41494,1.52444,17.0966,4.76526,4.44057,-0.01042,-0.00199,0.19489,-0.13268,0.00072,-0.01015,-0.21651,0.29023,-0.03392,49.05965,2.52317,-33.69504,7.69963,-35.21673,19.25715,15.09135,-25.30718,2.02949,-2.47603,1.33439,27.29037,13.71177,6.79508,-0.00787,-0.00112,0.18957,-0.12997,0.00175,-0.01073,-0.1991,0.27298,-0.03172
94.79167,49.2583,1.85489,-33.52583,6.75724,-35.23853,20.79959,14.83815,-24.95574,1.82499,-2.51255,1.07199,22.67204,15.80116,0.04853,0.00022,0.0028,0.18441,-0.10246,0.00412,0.00381,-0.18065,0.25158,-0.03373,49.62626,1.82655,-33.10135,7.30492,-35.59741,22.17068,15.74784,-24.64458,1.78623,-2.38189,1.49608,4.49491,-7.43373,-0.08249,-0.00146,-0.00903,0.21506,-0.11896,-0.00285,-0.00823,-0.25111,0.32348,-0.04019,49.72998,2.23116,-33.58131,7.01625,-35.94506,22.01694,15.16695,-24.60042,1.97955,-2.39817,1.33156,12.74435,-2.40523,2.12318,-0.00046,-0.00819,0.20725,-0.11279,-0.00149,-0.00777,-0.24037,0.31571,-0.0389
96.875,49.86298,1.15318,-33.33072,6.0664,-35.46568,23.35133,15.05049,-23.95609,1.7171,-2.43512,1.13403,12.93791,5.89691,-2.02465,0.00407,-0.00013,0.19479,-0.09058,0.00045,0.00753,-0.19297,0.27356,-0.03934,50.22026,0.91655,-32.99849,6.58267,-35.86269,24.86445,16.07398,-23.60056,1.68245,-2.40751,1.4283,-5.65212,-16.19776,-5.16887,0.00586,-0.01063,0.22189,-0.09742,-0.00527,6e-05,-0.25376,0.32297,-0.04347,50.32313,1.35183,-33.42969,6.31312,-36.24707,24.69163,15.47091,-23.68699,1.87944,-2.39106,1.27028,0.31511,-14.93246,-3.33541,0.00578,-0.0099,0.21513,-0.09122,-0.00438,0.00143,-0.25135,0.32609,-0.04324
98.95833,50.39939,0.01137,-33.18039,5.38661,-35.25723,25.8988,15.58177,-22.88357,1.57919,-2.40841,1.16069,4.42664,-0.85389,-3.93715,0.0066,-0.00231,0.19984,-0.07759,-0.00339,0.00966,-0.18778,0.27717,-0.04327,50.75791,-0.6182,-32.85986,5.82836,-35.6822,27.44657,16.54799,-22.29234,1.52854,-2.46928,1.34658,-11.43624,-20.22958,-9.66312,0.0107,-0.00697,0.21837,-0.07553,-0.00754,0.01128,-0.22783,0.29497,-0.04423,50.87669,-0.17517,-33.25741,5.60438,-36.08668,27.25953,15.93347,-22.51597,1.72876,-2.43104,1.18208,-7.52392,-21.5964,-8.28546,0.01015,-0.00644,0.21518,-0.07181,-0.00736,0.0129,-0.23268,0.30697,-0.04489
