stride_pct,RL | leg1_a angle (deg),RL | leg1_e angle (deg),RL | leg2_a angle (deg),RL | leg2_e angle (deg),RL | leg3_a angle (deg),RL | leg3_e angle (deg),RL | leg4_a angle (deg),RL | leg4_e angle (deg),RL | spine angle (deg),RL | IMU pitch (deg),RL | IMU roll (deg),RL | pitch rate (deg/s),RL | roll rate (deg/s),RL | yaw rate (deg/s),RL | leg1_a torque (N m),RL | leg1_e torque (N m),RL | leg2_a torque (N m),RL | leg2_e torque (N m),RL | leg3_a torque (N m),RL | leg3_e torque (N m),RL | leg4_a torque (N m),RL | leg4_e torque (N m),RL | spine torque (N m),1 sine | leg1_a angle (deg),1 sine | leg1_e angle (deg),1 sine | leg2_a angle (deg),1 sine | leg2_e angle (deg),1 sine | leg3_a angle (deg),1 sine | leg3_e angle (deg),1 sine | leg4_a angle (deg),1 sine | leg4_e angle (deg),1 sine | spine angle (deg),1 sine | IMU pitch (deg),1 sine | IMU roll (deg),1 sine | pitch rate (deg/s),1 sine | roll rate (deg/s),1 sine | yaw rate (deg/s),1 sine | leg1_a torque (N m),1 sine | leg1_e torque (N m),1 sine | leg2_a torque (N m),1 sine | leg2_e torque (N m),1 sine | leg3_a torque (N m),1 sine | leg3_e torque (N m),1 sine | leg4_a torque (N m),1 sine | leg4_e torque (N m),1 sine | spine torque (N m),3 sines | leg1_a angle (deg),3 sines | leg1_e angle (deg),3 sines | leg2_a angle (deg),3 sines | leg2_e angle (deg),3 sines | leg3_a angle (deg),3 sines | leg3_e angle (deg),3 sines | leg4_a angle (deg),3 sines | leg4_e angle (deg),3 sines | spine angle (deg),3 sines | IMU pitch (deg),3 sines | IMU roll (deg),3 sines | pitch rate (deg/s),3 sines | roll rate (deg/s),3 sines | yaw rate (deg/s),3 sines | leg1_a torque (N m),3 sines | leg1_e torque (N m),3 sines | leg2_a torque (N m),3 sines | leg2_e torque (N m),3 sines | leg3_a torque (N m),3 sines | leg3_e torque (N m),3 sines | leg4_a torque (N m),3 sines | leg4_e torque (N m),3 sines | spine torque (N m),6 sines | leg1_a angle (deg),6 sines | leg1_e angle (deg),6 sines | leg2_a angle (deg),6 sines | leg2_e angle (deg),6 sines | leg3_a angle (deg),6 sines | leg3_e angle (deg),6 sines | leg4_a angle (deg),6 sines | leg4_e angle (deg),6 sines | spine angle (deg),6 sines | IMU pitch (deg),6 sines | IMU roll (deg),6 sines | pitch rate (deg/s),6 sines | roll rate (deg/s),6 sines | yaw rate (deg/s),6 sines | leg1_a torque (N m),6 sines | leg1_e torque (N m),6 sines | leg2_a torque (N m),6 sines | leg2_e torque (N m),6 sines | leg3_a torque (N m),6 sines | leg3_e torque (N m),6 sines | leg4_a torque (N m),6 sines | leg4_e torque (N m),6 sines | spine torque (N m)
38.54167,32.66304,-17.01854,1.52983,39.20022,-17.99038,31.03708,42.31518,-2.02881,4.21964,-1.48229,-0.24517,-6.00532,-47.28256,1.39757,0.01545,0.03056,0.00725,-0.05448,0.05268,-0.01722,-0.0671,0.03569,-0.04287,36.56716,-16.47951,-0.09448,39.02569,-17.99821,32.00268,43.97815,-5.37321,3.41998,-1.17954,0.42582,7.31947,-24.78023,1.35478,0.00117,0.0048,0.01881,-0.04746,0.01657,-0.0166,-0.03906,0.01857,-0.02829,32.51739,-18.24525,0.98289,38.74869,-18.76595,31.10375,42.56484,-2.0835,4.01995,-1.10143,-0.70491,-3.26255,-44.70276,1.47686,0.03291,-0.00399,0.01235,-0.06662,0.00224,0.00152,-0.07386,0.03858,-0.04254,31.61856,-17.89961,1.34329,39.11109,-18.52859,30.78205,42.49296,-1.81386,3.86001,-1.14426,-0.488,-5.61474,-46.94168,1.10874,0.02182,0.00748,0.00987,-0.0596,0.02058,-0.00171,-0.07327,0.02719,-0.04012
40.625,31.65123,-15.18343,1.8104,40.6402,-16.22317,30.13098,42.92291,-1.46382,3.97413,-1.48812,-0.44301,-6.59376,-41.12419,0.98162,-0.00924,0.03519,0.00405,-0.04781,0.06505,-0.04477,-0.05448,0.02864,-0.04749,35.88814,-15.95736,0.08974,40.3505,-17.50796,31.27934,44.92247,-5.78199,3.28738,-1.10577,0.36241,10.84128,-14.63941,-0.56934,-0.0203,0.00989,0.01833,-0.0382,0.04069,-0.04894,-0.03477,0.00645,-0.02996,31.19378,-16.1803,1.29403,40.24381,-16.93266,30.15094,43.17273,-1.58736,3.81279,-1.12323,-0.8766,-8.34594,-34.90111,0.02685,0.00754,-0.00484,0.00877,-0.06089,0.0288,-0.03081,-0.06459,0.02248,-0.04669,30.58321,-15.87581,1.63443,40.63527,-16.61907,29.85229,43.09958,-1.21259,3.64248,-1.16022,-0.67967,-7.84679,-39.52774,0.43476,-0.016,0.01852,0.00524,-0.05002,0.04131,-0.0356,-0.05901,0.01729,-0.0473
42.70833,31.42473,-13.43358,2.0936,42.07328,-14.67611,29.55087,43.63554,-0.97879,3.67827,-1.49383,-0.58958,-6.67004,-32.857,0.6528,-0.04019,0.04019,0.00096,-0.03753,0.07872,-0.07447,-0.03899,0.02264,-0.05294,35.47891,-15.348,0.08186,41.68361,-17.08526,30.86359,45.85674,-6.56116,3.19538,-1.02704,0.34152,12.82703,-4.76374,-2.10075,-0.04796,0.01705,0.01439,-0.02624,0.06824,-0.08377,-0.0266,-0.00081,-0.03661,30.66761,-14.18115,1.64181,41.7091,-15.34938,29.63679,43.79376,-1.28305,3.59726,-1.17452,-0.97734,-13.65197,-24.48746,-1.38594,-0.02705,0.00454,0.00419,-0.04847,0.06447,-0.06933,-0.04997,0.01113,-0.05353,30.42082,-13.96364,1.95403,42.12219,-14.99636,29.32905,43.81578,-0.74295,3.38805,-1.18776,-0.80029,-9.84069,-30.45264,-0.14976,-0.05731,0.03229,0.0007,-0.03534,0.06863,-0.07453,-0.04032,0.0179,-0.0561
44.79167,31.84991,-11.85866,2.35822,43.45701,-13.38051,29.2419,44.4712,-0.67316,3.33828,-1.49909,-0.68304,-5.94848,-23.63574,0.48927,-0.07008,0.04531,-0.0008,-0.02573,0.09263,-0.10101,-0.02379,0.01595,-0.05725,35.29776,-14.67175,-0.12215,42.9905,-16.755,30.70639,46.73945,-7.67805,3.13769,-0.93833,0.35355,14.80532,3.10796,-2.78461,-0.07598,0.02731,0.0068,-0.01339,0.0945,-0.11334,-0.01542,-0.00254,-0.04623,30.88161,-12.41074,1.98215,43.1019,-14.06578,29.47472,44.47524,-1.28428,3.36385,-1.24533,-1.01285,-17.21129,-14.97095,-2.30044,-0.06381,0.02317,0.00058,-0.03243,0.09997,-0.10538,-0.03229,0.00626,-0.06082,30.9596,-12.28788,2.26726,43.53451,-13.70406,29.12294,44.67805,-0.53062,3.09324,-1.22124,-0.85288,-10.60471,-20.64269,-0.44477,-0.09242,0.04623,-0.00188,-0.01986,0.09723,-0.10981,-0.02147,0.025,-0.06343
46.875,32.73262,-10.48835,2.57015,44.75756,-12.2925,29.12443,45.40393,-0.66826,2.96203,-1.50205,-0.72759,-4.33173,-14.40594,0.52562,-0.09209,0.05054,-0.00082,-0.01475,0.10464,-0.12012,-0.01142,0.00513,-0.05855,35.27904,-13.93398,-0.51364,44.2384,-16.50071,30.71596,47.53057,-9.081,3.08484,-0.82598,0.38942,18.39761,8.50456,-2.55002,-0.09784,0.04082,-0.00249,-0.00233,0.1154,-0.13207,-0.00339,-1e-05,-0.05538,31.6868,-10.95094,2.24586,44.40057,-13.0391,29.51986,45.24161,-1.67357,3.0898,-1.31645,-0.99571,-17.43732,-6.7293,-2.43815,-0.09447,0.04582,-0.00093,-0.01678,0.12561,-0.13129,-0.01475,0.00504,-0.06544,31.96046,-10.8909,2.52196,44.85211,-12.67901,29.10514,45.66164,-0.69205,2.75308,-1.24974,-0.84961,-9.2736,-10.63424,-0.34203,-0.11386,0.05815,-0.00209,-0.00765,0.12018,-0.13419,-0.00626,0.02771,-0.06622
48.95833,33.87649,-9.30112,2.68565,45.94729,-11.32549,29.12409,46.37083,-1.09355,2.56006,-1.50014,-0.73118,-1.96134,-5.79749,0.73099,-0.10249,0.0555,0.00028,-0.00622,0.112,-0.12985,-0.00299,-0.01271,-0.05586,35.35875,-13.12873,-1.08109,45.40274,-16.26986,30.78989,48.20732,-10.71855,2.99685,-0.67572,0.44526,24.28921,12.19467,-1.68477,-0.1089,0.0562,-0.01022,0.0046,0.12882,-0.13868,0.00669,0.00457,-0.06064,32.89127,-9.79106,2.36016,45.59351,-12.1647,29.62751,46.08321,-2.50163,2.75284,-1.36744,-0.93944,-13.90416,0.71371,-1.8079,-0.11263,0.06525,-0.00062,-0.00473,0.13525,-0.14329,-0.00046,0.00245,-0.06471,33.19409,-9.73541,2.6627,46.05974,-11.79208,29.15904,46.68716,-1.32814,2.36736,-1.26168,-0.8061,-5.61929,-0.82421,0.11685,-0.11913,0.06639,-0.00113,-0.00065,0.13153,-0.14443,0.00332,0.01451,-0.06274
51.04167,35.1271,-8.24704,2.65047,47.00531,-10.39316,29.1948,47.29887,-2.07105,2.14628,-1.49138,-0.70318,0.78377,1.79073,1.01568,-0.10169,0.05916,0.00134,-0.00057,0.11248,-0.13088,0.00183,-0.03731,-0.04956,35.49759,-12.24798,-1.81505,46.47025,-15.9899,30.84761,48.77145,-12.55265,2.84055,-0.48196,0.52366,31.64272,15.5529,-0.62931,-0.10813,0.07068,-0.01346,0.00659,0.13492,-0.13627,0.01253,0.00923,-0.06013,34.31005,-8.84972,2.26625,46.67049,-11.32612,29.70575,46.96383,-3.80723,2.34628,-1.3857,-0.85474,-7.66029,7.96346,-0.68075,-0.11613,0.07542,0.00012,0.00247,0.12862,-0.14251,0.00848,-0.00484,-0.05778,34.49607,-8.73524,2.63586,47.14007,-10.9112,29.22047,47.65779,-2.52977,1.9459,-1.25038,-0.73663,-0.34503,8.21475,0.75607,-0.11115,0.06984,-0.00081,0.00182,0.12877,-0.14207,0.00739,-0.01901,-0.05351
53.125,36.38981,-7.27524,2.39647,47.9219,-9.4447,29.32592,48.13665,-3.6963,1.73756,-1.47554,-0.65283,3.38413,8.05313,1.26617,-0.0935,0.06017,0.00149,0.00278,0.10565,-0.12572,0.00421,-0.06385,-0.04136,35.69171,-11.29221,-2.70598,47.43757,-15.58959,30.85034,49.242,-14.55871,2.60348,-0.25331,0.63124,38.34266,19.75643,0.27191,-0.0984,0.08101,-0.01123,0.00484,0.13559,-0.1303,0.01345,0.01296,-0.05432,35.79848,-8.02019,1.92402,47.62181,-10.44292,29.73959,47.83982,-5.63707,1.88803,-1.37202,-0.74914,-0.84212,15.08522,0.5426,-0.10755,0.0742,-9e-05,0.00554,0.1109,-0.1337,0.01162,-0.01551,-0.04625,35.78331,-7.80061,2.38395,48.07713,-9.95759,29.28981,48.5059,-4.37908,1.51006,-1.21774,-0.6517,5.08241,15.65393,1.34758,-0.09641,0.0682,-0.00216,0.00221,0.11403,-0.13198,0.0077,-0.06543,-0.04124
55.20833,37.62161,-6.35498,1.84217,48.70359,-8.47809,29.53272,48.87313,-6.01525,1.35197,-1.45438,-0.58832,5.36321,12.72557,1.39247,-0.08302,0.0577,0.00085,0.00484,0.09341,-0.11747,0.00538,-0.08395,-0.03367,35.96706,-10.27677,-3.73772,48.3066,-15.01841,30.80255,49.63696,-16.71301,2.29783,-0.01128,0.77452,41.99785,25.26824,0.91176,-0.085,0.08481,-0.00511,0.00202,0.13317,-0.12567,0.0107,0.01567,-0.04571,37.26129,-7.21822,1.30423,48.4445,-9.49611,29.77915,48.67728,-8.04384,1.41863,-1.33975,-0.62878,4.27998,21.40906,1.50016,-0.09277,0.06416,-0.00148,0.00629,0.09006,-0.12255,0.0102,-0.02366,-0.03366,37.03451,-6.87728,1.83691,48.86727,-8.93061,29.41361,49.22186,-6.93226,1.08902,-1.17364,-0.55804,9.04792,20.67387,1.71585,-0.08184,0.06222,-0.00436,0.00294,0.09321,-0.11974,0.00648,-0.10731,-0.02979
57.29167,38.80844,-5.48255,0.90375,49.37416,-7.52908,29.83715,49.53197,-9.00156,1.00615,-1.43092,-0.51622,6.48649,15.66639,1.3641,-0.07438,0.05216,0.00054,0.00639,0.07945,-0.10865,0.0061,-0.08902,-0.02862,36.36172,-9.23118,-4.88264,49.07916,-14.25804,30.73761,49.95517,-18.97607,1.95332,0.21775,0.95651,41.18232,31.81769,1.38543,-0.07326,0.08162,0.00163,0.00089,0.12928,-0.1244,0.00686,0.01763,-0.03756,38.64233,-6.41089,0.37669,49.1494,-8.52254,29.90164,49.45631,-11.0546,0.98868,-1.30768,-0.50045,6.36348,25.8989,1.99204,-0.07832,0.05105,-0.00281,0.00647,0.0732,-0.11301,0.00663,-0.02216,-0.02407,38.25325,-5.96267,0.91284,49.5287,-7.89291,29.64837,49.84792,-10.18324,0.71227,-1.13131,-0.45967,10.55673,22.9209,1.80967,-0.072,0.05373,-0.00502,0.00511,0.0735,-0.10926,0.00549,-0.12509,-0.0226
