stride_pct,RL | leg1_a angle (deg),RL | leg1_e angle (deg),RL | leg2_a angle (deg),RL | leg2_e angle (deg),RL | leg3_a angle (deg),RL | leg3_e angle (deg),RL | leg4_a angle (deg),RL | leg4_e angle (deg),RL | spine angle (deg),RL | IMU pitch (deg),RL | IMU roll (deg),RL | pitch rate (deg/s),RL | roll rate (deg/s),RL | yaw rate (deg/s),RL | leg1_a torque (N m),RL | leg1_e torque (N m),RL | leg2_a torque (N m),RL | leg2_e torque (N m),RL | leg3_a torque (N m),RL | leg3_e torque (N m),RL | leg4_a torque (N m),RL | leg4_e torque (N m),RL | spine torque (N m),Old CPG | leg1_a angle (deg),Old CPG | leg1_e angle (deg),Old CPG | leg2_a angle (deg),Old CPG | leg2_e angle (deg),Old CPG | leg3_a angle (deg),Old CPG | leg3_e angle (deg),Old CPG | leg4_a angle (deg),Old CPG | leg4_e angle (deg),Old CPG | spine angle (deg),Old CPG | IMU pitch (deg),Old CPG | IMU roll (deg),Old CPG | pitch rate (deg/s),Old CPG | roll rate (deg/s),Old CPG | yaw rate (deg/s),Old CPG | leg1_a torque (N m),Old CPG | leg1_e torque (N m),Old CPG | leg2_a torque (N m),Old CPG | leg2_e torque (N m),Old CPG | leg3_a torque (N m),Old CPG | leg3_e torque (N m),Old CPG | leg4_a torque (N m),Old CPG | leg4_e torque (N m),Old CPG | spine torque (N m),Final CPG | leg1_a angle (deg),Final CPG | leg1_e angle (deg),Final CPG | leg2_a angle (deg),Final CPG | leg2_e angle (deg),Final CPG | leg3_a angle (deg),Final CPG | leg3_e angle (deg),Final CPG | leg4_a angle (deg),Final CPG | leg4_e angle (deg),Final CPG | spine angle (deg),Final CPG | IMU pitch (deg),Final CPG | IMU roll (deg),Final CPG | pitch rate (deg/s),Final CPG | roll rate (deg/s),Final CPG | yaw rate (deg/s),Final CPG | leg1_a torque (N m),Final CPG | leg1_e torque (N m),Final CPG | leg2_a torque (N m),Final CPG | leg2_e torque (N m),Final CPG | leg3_a torque (N m),Final CPG | leg3_e torque (N m),Final CPG | leg4_a torque (N m),Final CPG | leg4_e torque (N m),Final CPG | spine torque (N m)
53.125,36.38981,-7.27524,2.39647,47.9219,-9.4447,29.32592,48.13665,-3.6963,1.73756,-1.47554,-0.65283,3.38413,8.05313,1.26617,-0.0935,0.06017,0.00149,0.00278,0.10565,-0.12572,0.00421,-0.06385,-0.04136,35.98229,-11.18873,-1.32948,48.43907,-15.53288,29.84552,49.97034,-14.93086,2.60963,-0.19334,1.21218,23.28732,24.83495,0.14882,-0.10315,0.08624,-0.00317,0.0066,0.1324,-0.13266,0.01395,0.01265,-0.04702,35.78331,-7.80061,2.38395,48.07713,-9.95759,29.28981,48.5059,-4.37908,1.51006,-1.21774,-0.6517,5.08241,15.65393,1.34758,-0.09641,0.0682,-0.00216,0.00221,0.11403,-0.13198,0.0077,-0.06543,-0.04124
55.20833,37.62161,-6.35498,1.84217,48.70359,-8.47809,29.53272,48.87313,-6.01525,1.35197,-1.45438,-0.58832,5.36321,12.72557,1.39247,-0.08302,0.0577,0.00085,0.00484,0.09341,-0.11747,0.00538,-0.08395,-0.03367,36.33794,-10.13499,-2.68823,49.50981,-14.79294,29.92963,50.3692,-17.34312,2.52693,-0.03552,1.39364,26.8731,30.01717,1.90675,-0.08947,0.0943,0.00135,0.00332,0.12925,-0.12729,0.01209,0.01642,-0.03923,37.03451,-6.87728,1.83691,48.86727,-8.93061,29.41361,49.22186,-6.93226,1.08902,-1.17364,-0.55804,9.04792,20.67387,1.71585,-0.08184,0.06222,-0.00436,0.00294,0.09321,-0.11974,0.00648,-0.10731,-0.02979
57.29167,38.80844,-5.48255,0.90375,49.37416,-7.52908,29.83715,49.53197,-9.00156,1.00615,-1.43092,-0.51622,6.48649,15.66639,1.3641,-0.07438,0.05216,0.00054,0.00639,0.07945,-0.10865,0.0061,-0.08902,-0.02862,36.77476,-8.97174,-4.14198,50.44508,-13.83537,29.9626,50.69877,-19.81689,2.39761,0.1154,1.61499,25.57773,36.82933,3.45441,-0.0749,0.09692,0.00507,0.00079,0.12806,-0.12415,0.00874,0.01966,-0.03001,38.25325,-5.96267,0.91284,49.5287,-7.89291,29.64837,49.84792,-10.18324,0.71227,-1.13131,-0.45967,10.55673,22.9209,1.80967,-0.072,0.05373,-0.00502,0.00511,0.0735,-0.10926,0.00549,-0.12509,-0.0226
59.375,39.94305,-4.67339,-0.48203,49.96822,-6.64457,30.24962,50.14412,-12.54305,0.71226,-1.40784,-0.44103,6.87467,16.99959,1.21665,-0.06935,0.04528,0.00206,0.00774,0.06774,-0.10068,0.0066,-0.07454,-0.02724,37.33322,-7.71026,-5.64439,51.2038,-12.64706,30.00081,50.91911,-22.28796,2.24989,0.23547,1.87726,19.97406,44.55439,4.54592,-0.06488,0.09448,0.00664,0.00131,0.12938,-0.12307,0.00619,0.02099,-0.02234,39.43646,-5.09408,-0.46345,50.10079,-6.92769,30.02611,50.44011,-14.02555,0.40128,-1.10076,-0.35899,9.73793,22.83536,1.70541,-0.06782,0.04528,-0.00157,0.00812,0.06036,-0.1017,0.00544,-0.10731,-0.02123
61.45833,41.01401,-3.946,-2.32928,50.5181,-5.85605,30.76048,50.71391,-16.44748,0.47604,-1.38591,-0.36486,6.95888,17.18814,1.02638,-0.06733,0.0394,0.00633,0.00884,0.06082,-0.09397,0.00682,-0.04294,-0.02903,38.04607,-6.37543,-7.14993,51.76038,-11.23184,30.10027,50.97537,-24.68644,2.11275,0.31148,2.17753,12.28516,52.1479,5.0273,-0.06162,0.08825,0.00583,0.0051,0.13021,-0.12179,0.00556,0.01965,-0.01819,40.56349,-4.31846,-2.32697,50.62997,-6.09267,30.53845,51.02004,-18.23896,0.16417,-1.08392,-0.2571,7.78355,21.58338,1.54472,-0.06724,0.03926,0.00698,0.01053,0.0555,-0.09609,0.00609,-0.05759,-0.02485
63.54167,42.00809,-3.30718,-4.58112,51.03919,-5.16598,31.34385,51.19791,-20.4721,0.29631,-1.36338,-0.28747,7.28494,16.94143,0.86739,-0.06648,0.0363,0.01291,0.0096,0.05881,-0.08854,0.00679,-0.00345,-0.03234,38.92478,-4.99721,-8.62475,52.11254,-9.6112,30.29863,50.82881,-26.94311,2.00428,0.34383,2.50996,5.17057,58.66335,4.87822,-0.06364,0.07986,0.00372,0.01019,0.12578,-0.11764,0.00626,0.01614,-0.01778,41.60639,-3.66158,-4.63886,51.14793,-5.39423,31.14433,51.54458,-22.51989,-0.00461,-1.07389,-0.15386,6.33032,20.56472,1.44587,-0.06719,0.03697,0.01899,0.01129,0.0567,-0.09089,0.00672,0.00586,-0.03076
65.625,42.91986,-2.74627,-7.10669,51.52021,-4.5522,31.96988,51.50911,-24.37119,0.16633,-1.33651,-0.20693,8.25961,16.97122,0.77464,-0.06516,0.03624,0.02005,0.0101,0.05963,-0.08447,0.00677,0.03143,-0.03514,39.95577,-3.60549,-10.05016,52.27648,-7.82955,30.61028,50.47869,-28.99921,1.92676,0.34349,2.86676,0.48952,63.48621,4.24037,-0.06706,0.07081,0.00204,0.01351,0.11245,-0.10924,0.00651,0.01206,-0.01981,42.54987,-3.11297,-7.27144,51.653,-4.79266,31.79372,51.9112,-26.55304,-0.11967,-1.0589,-0.04802,6.61146,20.75054,1.44017,-0.06558,0.03797,0.03059,0.0105,0.05954,-0.08549,0.00672,0.05836,-0.03574
67.70833,43.7594,-2.24044,-9.72243,51.92309,-3.98469,32.6174,51.54484,-27.94561,0.07625,-1.30113,-0.12064,9.97237,17.72202,0.73211,-0.06283,0.03781,0.02545,0.01053,0.06035,-0.08201,0.00712,0.05128,-0.03599,41.10583,-2.23081,-11.41635,52.27177,-5.95958,31.0334,49.96057,-30.81385,1.86976,0.32596,3.23886,-1.28296,66.38175,3.39157,-0.06798,0.0621,0.00208,0.0128,0.0901,-0.09732,0.00472,0.00923,-0.02224,43.40519,-2.63309,-10.02473,52.10484,-4.23141,32.45224,51.99619,-30.09652,-0.19774,-1.02851,0.06207,8.84977,22.24311,1.46739,-0.06227,0.04031,0.03744,0.0093,0.05995,-0.08066,0.00589,0.08069,-0.03762
69.79167,44.55173,-1.76656,-12.23175,52.19242,-3.44372,33.28017,51.2239,-31.07405,0.01575,-1.25414,-0.02629,12.19223,19.23664,0.69032,-0.06011,0.03876,0.02732,0.01095,0.05886,-0.08135,0.00804,0.05242,-0.03465,42.3326,-0.90917,-12.71048,52.10473,-4.10042,31.56194,49.32079,-32.36413,1.81895,0.30617,3.61685,-0.74387,67.48222,2.64334,-0.06458,0.05417,0.00385,0.00805,0.06278,-0.08426,0.00079,0.00855,-0.02345,44.20827,-2.17623,-12.67205,52.43545,-3.67147,33.11319,51.70441,-33.04009,-0.25185,-0.9786,0.1777,12.23668,24.34428,1.42769,-0.05867,0.04149,0.03698,0.00886,0.05633,-0.07789,0.00451,0.06854,-0.0361
71.875,45.32795,-1.31201,-14.46824,52.2694,-2.92896,33.96393,50.51341,-33.71216,-0.0241,-1.19433,0.07785,14.5438,21.24766,0.60112,-0.05801,0.03734,0.0253,0.01114,0.05499,-0.08228,0.00943,0.03949,-0.03204,43.59507,0.31461,-13.90715,51.76087,-2.36486,32.19509,48.58266,-33.63687,1.76514,0.29692,3.99294,1.33565,67.31206,2.18873,-0.05794,0.04692,0.00594,0.00165,0.03712,-0.07285,-0.00342,0.00929,-0.02291,45.0034,-1.71486,-15.01706,52.5706,-3.11111,33.79203,51.00289,-35.40509,-0.28897,-0.91227,0.29965,15.50881,26.12047,1.25449,-0.05641,0.0398,0.02979,0.00941,0.05006,-0.07814,0.00325,0.03442,-0.03265
